palette,pen,source_index,role,track,source_rgb,neo_word,neo_rgb
44,5,14,static,,#0a4784,0x6048,#084a84
44,6,16,static,,#092d63,0x6026,#082963
44,7,18,static,,#005476,0x0057,#005273
44,8,21,static,,#873f2d,0x1842,#844229
44,9,22,static,,#061b58,0x7015,#08195a
44,10,23,static,,#121b43,0x2114,#101942
44,11,24,static,,#980000,0x0900,#940000
44,12,25,static,,#dc0000,0x4d00,#de0000
44,13,26,static,,#a94f43,0x4a54,#ad5242
44,14,29,static,,#3e1000,0x0410,#421000
44,15,0,static,,#000000,0x0000,#000000
45,0,0,transparent,,#000000,0x0000,#000000
45,1,1,static,,#ba6363,0x4b66,#bd6363
45,2,6,static,,#cb7979,0x7c77,#ce7b7b
45,3,14,static,,#0a4784,0x6048,#084a84
45,4,15,static,,#062f65,0x4036,#083163
45,5,16,static,,#092d63,0x6026,#082963
45,6,19,static,,#3a66be,0x536b,#3a63bd
45,7,20,static,,#3f1f07,0x1420,#422108
45,8,22,static,,#061b58,0x7015,#08195a
45,9,23,static,,#121b43,0x2114,#101942
45,10,24,static,,#980000,0x0900,#940000
45,11,25,static,,#dc0000,0x4d00,#de0000
45,12,26,static,,#a94f43,0x4a54,#ad5242
45,13,28,static,,#002165,0x0026,#002163
45,14,30,static,,#8798fe,0x189f,#8494ff
45,15,48,static,,#430000,0x0400,#420000
46,0,0,transparent,,#000000,0x0000,#000000
46,1,1,static,,#ba6363,0x4b66,#bd6363
46,2,7,static,,#98473c,0x3943,#944a3a
46,3,9,static,,#dc7584,0x4d78,#de7384
46,4,16,static,,#092d63,0x6026,#082963
46,5,18,static,,#005476,0x0057,#005273
46,6,21,static,,#873f2d,0x1842,#844229
46,7,23,static,,#121b43,0x2114,#101942
46,8,24,static,,#980000,0x0900,#940000
46,9,26,static,,#a94f43,0x4a54,#ad5242
46,10,29,static,,#3e1000,0x0410,#421000
46,11,30,static,,#8798fe,0x189f,#8494ff
46,12,31,static,,#4365a9,0x146a,#4263ad
46,13,34,static,,#a94343,0x4a44,#ad4242
46,14,38,static,,#dc5866,0x6d56,#de5a63
46,15,0,static,,#000000,0x0000,#000000
47,0,0,transparent,,#000000,0x0000,#000000
47,1,4,static,,#872409,0x1820,#842108
47,2,6,static,,#cb7979,0x7c77,#ce7b7b
47,3,9,static,,#dc7584,0x4d78,#de7384
47,4,10,static,,#875151,0x0855,#845252
47,5,11,static,,#3c1400,0x4310,#3a1000
47,6,18,static,,#005476,0x0057,#005273
47,7,21,static,,#873f2d,0x1842,#844229
47,8,23,static,,#121b43,0x2114,#101942
47,9,26,static,,#a94f43,0x4a54,#ad5242
47,10,29,static,,#3e1000,0x0410,#421000
47,11,34,static,,#a94343,0x4a44,#ad4242
47,12,36,static,,#983c5b,0x3935,#943a5a
47,13,39,static,,#542d00,0x2520,#522900
47,14,40,static,,#76473f,0x2744,#734a42
47,15,42,static,,#431f1f,0x0422,#422121
48,0,0,transparent,,#000000,0x0000,#000000
48,1,11,static,,#3c1400,0x4310,#3a1000
48,2,12,static,,#54a9fe,0x35af,#52adff
48,3,14,static,,#0a4784,0x6048,#084a84
48,4,15,static,,#062f65,0x4036,#083163
48,5,18,static,,#005476,0x0057,#005273
48,6,19,static,,#3a66be,0x536b,#3a63bd
48,7,21,static,,#873f2d,0x1842,#844229
48,8,22,static,,#061b58,0x7015,#08195a
48,9,23,static,,#121b43,0x2114,#101942
48,10,26,static,,#a94f43,0x4a54,#ad5242
48,11,29,static,,#3e1000,0x0410,#421000
48,12,30,static,,#8798fe,0x189f,#8494ff
48,13,31,static,,#4365a9,0x146a,#4263ad
48,14,34,static,,#a94343,0x4a44,#ad4242
48,15,43,static,,#982828,0x3922,#942929
49,0,0,transparent,,#000000,0x0000,#000000
49,1,79,animated_track,2,#ff0066,0x6660,#6b6b00
49,2,80,animated_track,3,#ff0019,0x0660,#636300
49,3,81,animated_track,4,#ff3300,0x6550,#5a5a00
49,4,82,animated_track,5,#ff8000,0x0550,#525200
49,5,83,animated_track,6,#ffcc00,0x0550,#525200
49,6,84,animated_track,7,#e5ff00,0x6440,#4a4a00
49,7,15,static,,#062f65,0x4036,#083163
49,8,16,static,,#092d63,0x6026,#082963
49,9,19,static,,#3a66be,0x536b,#3a63bd
49,10,23,static,,#121b43,0x2114,#101942
49,11,28,static,,#002165,0x0026,#002163
49,12,50,static,,#bababa,0x7bbb,#bdbdbd
49,13,54,static,,#01050c,0x3000,#000808
49,14,56,static,,#750000,0x0700,#730000
49,15,57,static,,#510000,0x0500,#520000
50,0,0,transparent,,#000000,0x0000,#000000
50,1,90,animated_track,13,#00ffe6,0x6110,#191900
50,2,94,animated_track,17,#1900ff,0x0500,#520000
50,3,95,animated_track,18,#6600ff,0x0600,#630000
50,4,15,static,,#062f65,0x4036,#083163
50,5,22,static,,#061b58,0x7015,#08195a
50,6,23,static,,#121b43,0x2114,#101942
50,7,28,static,,#002165,0x0026,#002163
50,8,50,static,,#bababa,0x7bbb,#bdbdbd
50,9,53,static,,#020f1d,0x0012,#001021
50,10,54,static,,#01050c,0x3000,#000808
50,11,55,static,,#1b2f58,0x5135,#19315a
50,12,56,static,,#750000,0x0700,#730000
50,13,68,static,,#2d5a87,0x6258,#295a84
50,14,69,static,,#878787,0x0888,#848484
