phase,track,red,green,blue,rgb,neo_word,neo_rgb
13,10,186,0,0,#ba0000,0x4b00,#bd0000
13,11,203,0,0,#cb0000,0x4c00,#ce0000
13,12,220,0,0,#dc0000,0x4d00,#de0000
13,13,237,0,0,#ed0000,0x4e00,#ef0000
13,14,254,0,0,#fe0000,0x4f00,#ff0000
13,15,254,0,0,#fe0000,0x4f00,#ff0000
13,16,237,0,0,#ed0000,0x4e00,#ef0000
13,17,220,0,0,#dc0000,0x4d00,#de0000
13,18,203,0,0,#cb0000,0x4c00,#ce0000
13,19,186,0,0,#ba0000,0x4b00,#bd0000
14,0,15,15,0,#0f0f00,0x0110,#101000
14,1,50,0,0,#320000,0x0300,#310000
14,2,67,0,0,#430000,0x0400,#420000
14,3,84,0,0,#540000,0x0500,#520000
14,4,101,0,0,#650000,0x0600,#630000
14,5,118,0,0,#760000,0x0700,#730000
14,6,135,0,0,#870000,0x0800,#840000
14,7,152,0,0,#980000,0x0900,#940000
14,8,169,0,0,#a90000,0x4a00,#ad0000
14,9,186,0,0,#ba0000,0x4b00,#bd0000
14,10,203,0,0,#cb0000,0x4c00,#ce0000
14,11,220,0,0,#dc0000,0x4d00,#de0000
14,12,237,0,0,#ed0000,0x4e00,#ef0000
14,13,254,0,0,#fe0000,0x4f00,#ff0000
14,14,254,0,0,#fe0000,0x4f00,#ff0000
14,15,237,0,0,#ed0000,0x4e00,#ef0000
14,16,220,0,0,#dc0000,0x4d00,#de0000
14,17,203,0,0,#cb0000,0x4c00,#ce0000
14,18,186,0,0,#ba0000,0x4b00,#bd0000
14,19,169,0,0,#a90000,0x4a00,#ad0000
15,0,50,0,0,#320000,0x0300,#310000
15,1,67,0,0,#430000,0x0400,#420000
15,2,84,0,0,#540000,0x0500,#520000
15,3,101,0,0,#650000,0x0600,#630000
15,4,118,0,0,#760000,0x0700,#730000
15,5,135,0,0,#870000,0x0800,#840000
15,6,152,0,0,#980000,0x0900,#940000
15,7,169,0,0,#a90000,0x4a00,#ad0000
15,8,186,0,0,#ba0000,0x4b00,#bd0000
15,9,203,0,0,#cb0000,0x4c00,#ce0000
15,10,220,0,0,#dc0000,0x4d00,#de0000
15,11,237,0,0,#ed0000,0x4e00,#ef0000
15,12,254,0,0,#fe0000,0x4f00,#ff0000
15,13,254,0,0,#fe0000,0x4f00,#ff0000
15,14,237,0,0,#ed0000,0x4e00,#ef0000
15,15,220,0,0,#dc0000,0x4d00,#de0000
15,16,203,0,0,#cb0000,0x4c00,#ce0000
15,17,186,0,0,#ba0000,0x4b00,#bd0000
15,18,169,0,0,#a90000,0x4a00,#ad0000
15,19,152,0,0,#980000,0x0900,#940000
16,0,67,0,0,#430000,0x0400,#420000
16,1,84,0,0,#540000,0x0500,#520000
16,2,101,0,0,#650000,0x0600,#630000
16,3,118,0,0,#760000,0x0700,#730000
16,4,135,0,0,#870000,0x0800,#840000
16,5,152,0,0,#980000,0x0900,#940000
16,6,169,0,0,#a90000,0x4a00,#ad0000
16,7,186,0,0,#ba0000,0x4b00,#bd0000
16,8,203,0,0,#cb0000,0x4c00,#ce0000
16,9,220,0,0,#dc0000,0x4d00,#de0000
16,10,237,0,0,#ed0000,0x4e00,#ef0000
16,11,254,0,0,#fe0000,0x4f00,#ff0000
16,12,254,0,0,#fe0000,0x4f00,#ff0000
16,13,237,0,0,#ed0000,0x4e00,#ef0000
16,14,220,0,0,#dc0000,0x4d00,#de0000
16,15,203,0,0,#cb0000,0x4c00,#ce0000
16,16,186,0,0,#ba0000,0x4b00,#bd0000
16,17,169,0,0,#a90000,0x4a00,#ad0000
16,18,152,0,0,#980000,0x0900,#940000
16,19,135,0,0,#870000,0x0800,#840000
17,0,84,0,0,#540000,0x0500,#520000
17,1,101,0,0,#650000,0x0600,#630000
17,2,118,0,0,#760000,0x0700,#730000
17,3,135,0,0,#870000,0x0800,#840000
17,4,152,0,0,#980000,0x0900,#940000
17,5,169,0,0,#a90000,0x4a00,#ad0000
17,6,186,0,0,#ba0000,0x4b00,#bd0000
17,7,203,0,0,#cb0000,0x4c00,#ce0000
17,8,220,0,0,#dc0000,0x4d00,#de0000
17,9,237,0,0,#ed0000,0x4e00,#ef0000
17,10,254,0,0,#fe0000,0x4f00,#ff0000
17,11,254,0,0,#fe0000,0x4f00,#ff0000
17,12,237,0,0,#ed0000,0x4e00,#ef0000
17,13,220,0,0,#dc0000,0x4d00,#de0000
17,14,203,0,0,#cb0000,0x4c00,#ce0000
17,15,186,0,0,#ba0000,0x4b00,#bd0000
17,16,169,0,0,#a90000,0x4a00,#ad0000
17,17,152,0,0,#980000,0x0900,#940000
17,18,135,0,0,#870000,0x0800,#840000
17,19,118,0,0,#760000,0x0700,#730000
18,0,101,0,0,#650000,0x0600,#630000
18,1,118,0,0,#760000,0x0700,#730000
18,2,135,0,0,#870000,0x0800,#840000
18,3,152,0,0,#980000,0x0900,#940000
18,4,169,0,0,#a90000,0x4a00,#ad0000
18,5,186,0,0,#ba0000,0x4b00,#bd0000
18,6,203,0,0,#cb0000,0x4c00,#ce0000
18,7,220,0,0,#dc0000,0x4d00,#de0000
18,8,237,0,0,#ed0000,0x4e00,#ef0000
18,9,254,0,0,#fe0000,0x4f00,#ff0000
18,10,254,0,0,#fe0000,0x4f00,#ff0000
18,11,237,0,0,#ed0000,0x4e00,#ef0000
18,12,220,0,0,#dc0000,0x4d00,#de0000
18,13,203,0,0,#cb0000,0x4c00,#ce0000
18,14,186,0,0,#ba0000,0x4b00,#bd0000
18,15,169,0,0,#a90000,0x4a00,#ad0000
18,16,152,0,0,#980000,0x0900,#940000
18,17,135,0,0,#870000,0x0800,#840000
18,18,118,0,0,#760000,0x0700,#730000
18,19,101,0,0,#650000,0x0600,#630000
19,0,118,0,0,#760000,0x0700,#730000
19,1,135,0,0,#870000,0x0800,#840000
19,2,152,0,0,#980000,0x0900,#940000
19,3,169,0,0,#a90000,0x4a00,#ad0000
19,4,186,0,0,#ba0000,0x4b00,#bd0000
19,5,203,0,0,#cb0000,0x4c00,#ce0000
19,6,220,0,0,#dc0000,0x4d00,#de0000
19,7,237,0,0,#ed0000,0x4e00,#ef0000
19,8,254,0,0,#fe0000,0x4f00,#ff0000
19,9,254,0,0,#fe0000,0x4f00,#ff0000
19,10,237,0,0,#ed0000,0x4e00,#ef0000
19,11,220,0,0,#dc0000,0x4d00,#de0000
19,12,203,0,0,#cb0000,0x4c00,#ce0000
19,13,186,0,0,#ba0000,0x4b00,#bd0000
19,14,169,0,0,#a90000,0x4a00,#ad0000
19,15,152,0,0,#980000,0x0900,#940000
19,16,135,0,0,#870000,0x0800,#840000
19,17,118,0,0,#760000,0x0700,#730000
19,18,101,0,0,#650000,0x0600,#630000
19,19,84,0,0,#540000,0x0500,#520000
20,0,135,0,0,#870000,0x0800,#840000
20,1,152,0,0,#980000,0x0900,#940000
20,2,169,0,0,#a90000,0x4a00,#ad0000
20,3,186,0,0,#ba0000,0x4b00,#bd0000
20,4,203,0,0,#cb0000,0x4c00,#ce0000
20,5,220,0,0,#dc0000,0x4d00,#de0000
20,6,237,0,0,#ed0000,0x4e00,#ef0000
20,7,254,0,0,#fe0000,0x4f00,#ff0000
20,8,254,0,0,#fe0000,0x4f00,#ff0000
20,9,237,0,0,#ed0000,0x4e00,#ef0000
20,10,220,0,0,#dc0000,0x4d00,#de0000
20,11,203,0,0,#cb0000,0x4c00,#ce0000
20,12,186,0,0,#ba0000,0x4b00,#bd0000
20,13,169,0,0,#a90000,0x4a00,#ad0000
20,14,152,0,0,#980000,0x0900,#940000
20,15,135,0,0,#870000,0x0800,#840000
20,16,118,0,0,#760000,0x0700,#730000
20,17,101,0,0,#650000,0x0600,#630000
20,18,84,0,0,#540000,0x0500,#520000
20,19,67,0,0,#430000,0x0400,#420000
21,0,152,0,0,#980000,0x0900,#940000
21,1,169,0,0,#a90000,0x4a00,#ad0000
21,2,186,0,0,#ba0000,0x4b00,#bd0000
21,3,203,0,0,#cb0000,0x4c00,#ce0000
21,4,220,0,0,#dc0000,0x4d00,#de0000
21,5,237,0,0,#ed0000,0x4e00,#ef0000
21,6,254,0,0,#fe0000,0x4f00,#ff0000
21,7,254,0,0,#fe0000,0x4f00,#ff0000
21,8,237,0,0,#ed0000,0x4e00,#ef0000
21,9,220,0,0,#dc0000,0x4d00,#de0000
21,10,203,0,0,#cb0000,0x4c00,#ce0000
21,11,186,0,0,#ba0000,0x4b00,#bd0000
21,12,169,0,0,#a90000,0x4a00,#ad0000
21,13,152,0,0,#980000,0x0900,#940000
21,14,135,0,0,#870000,0x0800,#840000
21,15,118,0,0,#760000,0x0700,#730000
21,16,101,0,0,#650000,0x0600,#630000
21,17,84,0,0,#540000,0x0500,#520000
21,18,67,0,0,#430000,0x0400,#420000
21,19,50,0,0,#320000,0x0300,#310000
22,0,169,0,0,#a90000,0x4a00,#ad0000
22,1,186,0,0,#ba0000,0x4b00,#bd0000
22,2,203,0,0,#cb0000,0x4c00,#ce0000
22,3,220,0,0,#dc0000,0x4d00,#de0000
22,4,237,0,0,#ed0000,0x4e00,#ef0000
22,5,254,0,0,#fe0000,0x4f00,#ff0000
22,6,254,0,0,#fe0000,0x4f00,#ff0000
22,7,237,0,0,#ed0000,0x4e00,#ef0000
22,8,220,0,0,#dc0000,0x4d00,#de0000
22,9,203,0,0,#cb0000,0x4c00,#ce0000
22,10,186,0,0,#ba0000,0x4b00,#bd0000
22,11,169,0,0,#a90000,0x4a00,#ad0000
22,12,152,0,0,#980000,0x0900,#940000
22,13,135,0,0,#870000,0x0800,#840000
22,14,118,0,0,#760000,0x0700,#730000
22,15,101,0,0,#650000,0x0600,#630000
22,16,84,0,0,#540000,0x0500,#520000
22,17,67,0,0,#430000,0x0400,#420000
22,18,50,0,0,#320000,0x0300,#310000
22,19,33,0,0,#210000,0x0200,#210000
23,0,186,0,0,#ba0000,0x4b00,#bd0000
23,1,203,0,0,#cb0000,0x4c00,#ce0000
23,2,220,0,0,#dc0000,0x4d00,#de0000
23,3,237,0,0,#ed0000,0x4e00,#ef0000
23,4,254,0,0,#fe0000,0x4f00,#ff0000
23,5,254,0,0,#fe0000,0x4f00,#ff0000
23,6,237,0,0,#ed0000,0x4e00,#ef0000
23,7,220,0,0,#dc0000,0x4d00,#de0000
23,8,203,0,0,#cb0000,0x4c00,#ce0000
23,9,186,0,0,#ba0000,0x4b00,#bd0000
23,10,169,0,0,#a90000,0x4a00,#ad0000
23,11,152,0,0,#980000,0x0900,#940000
23,12,135,0,0,#870000,0x0800,#840000
23,13,118,0,0,#760000,0x0700,#730000
23,14,101,0,0,#650000,0x0600,#630000
23,15,84,0,0,#540000,0x0500,#520000
23,16,67,0,0,#430000,0x0400,#420000
23,17,50,0,0,#320000,0x0300,#310000
23,18,33,0,0,#210000,0x0200,#210000
23,19,23,0,23,#170017,0x5101,#190019
24,0,203,0,0,#cb0000,0x4c00,#ce0000
24,1,220,0,0,#dc0000,0x4d00,#de0000
24,2,237,0,0,#ed0000,0x4e00,#ef0000
24,3,254,0,0,#fe0000,0x4f00,#ff0000
24,4,254,0,0,#fe0000,0x4f00,#ff0000
24,5,237,0,0,#ed0000,0x4e00,#ef0000
24,6,220,0,0,#dc0000,0x4d00,#de0000
24,7,203,0,0,#cb0000,0x4c00,#ce0000
24,8,186,0,0,#ba0000,0x4b00,#bd0000
24,9,169,0,0,#a90000,0x4a00,#ad0000
24,10,152,0,0,#980000,0x0900,#940000
24,11,135,0,0,#870000,0x0800,#840000
24,12,118,0,0,#760000,0x0700,#730000
24,13,101,0,0,#650000,0x0600,#630000
24,14,84,0,0,#540000,0x0500,#520000
24,15,67,0,0,#430000,0x0400,#420000
24,16,50,0,0,#320000,0x0300,#310000
24,17,33,0,0,#210000,0x0200,#210000
24,18,23,0,23,#170017,0x5101,#190019
24,19,31,0,31,#1f001f,0x0202,#210021
25,0,220,0,0,#dc0000,0x4d00,#de0000
25,1,237,0,0,#ed0000,0x4e00,#ef0000
25,2,254,0,0,#fe0000,0x4f00,#ff0000
25,3,254,0,0,#fe0000,0x4f00,#ff0000
25,4,237,0,0,#ed0000,0x4e00,#ef0000
25,5,220,0,0,#dc0000,0x4d00,#de0000
25,6,203,0,0,#cb0000,0x4c00,#ce0000
25,7,186,0,0,#ba0000,0x4b00,#bd0000
25,8,169,0,0,#a90000,0x4a00,#ad0000
25,9,152,0,0,#980000,0x0900,#940000
25,10,135,0,0,#870000,0x0800,#840000
25,11,118,0,0,#760000,0x0700,#730000
25,12,101,0,0,#650000,0x0600,#630000
25,13,84,0,0,#540000,0x0500,#520000
25,14,67,0,0,#430000,0x0400,#420000
25,15,50,0,0,#320000,0x0300,#310000
25,16,33,0,0,#210000,0x0200,#210000
25,17,23,0,23,#170017,0x5101,#190019
25,18,31,0,31,#1f001f,0x0202,#210021
25,19,39,0,39,#270027,0x5202,#290029
26,0,237,0,0,#ed0000,0x4e00,#ef0000
26,1,254,0,0,#fe0000,0x4f00,#ff0000
26,2,254,0,0,#fe0000,0x4f00,#ff0000
26,3,237,0,0,#ed0000,0x4e00,#ef0000
26,4,220,0,0,#dc0000,0x4d00,#de0000
26,5,203,0,0,#cb0000,0x4c00,#ce0000
26,6,186,0,0,#ba0000,0x4b00,#bd0000
26,7,169,0,0,#a90000,0x4a00,#ad0000
26,8,152,0,0,#980000,0x0900,#940000
26,9,135,0,0,#870000,0x0800,#840000
26,10,118,0,0,#760000,0x0700,#730000
26,11,101,0,0,#650000,0x0600,#630000
26,12,84,0,0,#540000,0x0500,#520000
26,13,67,0,0,#430000,0x0400,#420000
26,14,50,0,0,#320000,0x0300,#310000
26,15,33,0,0,#210000,0x0200,#210000
26,16,23,0,23,#170017,0x5101,#190019
26,17,31,0,31,#1f001f,0x0202,#210021
26,18,39,0,39,#270027,0x5202,#290029
26,19,47,0,47,#2f002f,0x0303,#310031
27,0,254,0,0,#fe0000,0x4f00,#ff0000
27,1,254,0,0,#fe0000,0x4f00,#ff0000
27,2,237,0,0,#ed0000,0x4e00,#ef0000
27,3,220,0,0,#dc0000,0x4d00,#de0000
27,4,203,0,0,#cb0000,0x4c00,#ce0000
27,5,186,0,0,#ba0000,0x4b00,#bd0000
27,6,169,0,0,#a90000,0x4a00,#ad0000
27,7,152,0,0,#980000,0x0900,#940000
27,8,135,0,0,#870000,0x0800,#840000
