phase,palette,pen,source_index,track,source_rgb,neo_word,neo_rgb
5,79,3,86,9,#0f0f00,0x0110,#101000
5,79,4,87,10,#320000,0x0300,#310000
6,34,1,77,0,#4f4f00,0x0550,#525200
6,34,2,78,1,#474700,0x6440,#4a4a00
6,34,3,79,2,#3f3f00,0x0440,#424200
6,35,1,78,1,#474700,0x6440,#4a4a00
6,35,2,79,2,#3f3f00,0x0440,#424200
6,36,1,84,7,#171700,0x6110,#191900
6,36,2,85,8,#0f0f00,0x0110,#101000
6,36,3,86,9,#320000,0x0300,#310000
6,36,4,87,10,#430000,0x0400,#420000
6,37,1,84,7,#171700,0x6110,#191900
