x,y,tile,palette,source_visible_colours,output_visible_colours,marker_colours,changed_pixels
13,6,131,45,6,6,0,0
14,6,132,40,14,14,0,0
15,6,133,77,3,3,0,0
16,6,134,29,20,15,0,30
17,6,135,24,15,15,0,0
18,6,136,45,14,14,0,0
19,6,137,53,10,10,0,0
0,7,138,39,8,8,0,0
1,7,139,16,9,9,0,0
2,7,140,16,10,10,0,0
3,7,141,16,11,11,0,0
4,7,142,16,9,9,0,0
5,7,143,39,14,14,0,0
6,7,144,45,7,7,0,0
7,7,145,73,10,10,0,0
8,7,146,56,10,10,0,0
9,7,147,73,11,11,0,0
10,7,148,73,9,9,0,0
11,7,149,45,8,8,0,0
12,7,150,76,5,5,0,0
13,7,151,76,3,3,0,0
14,7,152,40,9,9,0,0
15,7,153,40,10,10,0,0
16,7,154,32,23,15,0,27
17,7,155,56,10,10,0,0
18,7,156,45,8,8,0,0
19,7,157,69,10,10,0,0
0,8,158,51,13,13,0,0
1,8,159,77,3,3,0,0
2,8,160,16,11,11,0,0
3,8,161,16,11,11,0,0
4,8,162,40,5,5,0,0
5,8,163,16,9,9,0,0
6,8,164,76,8,8,0,0
7,8,165,76,5,5,0,0
8,8,166,76,5,5,0,0
9,8,167,58,3,3,0,0
10,8,168,58,4,4,0,0
11,8,169,58,6,6,0,0
12,8,170,76,3,3,0,0
13,8,171,40,7,7,0,0
14,8,172,40,9,9,0,0
15,8,173,39,13,13,0,0
16,8,174,45,6,6,0,0
17,8,175,45,8,8,0,0
18,8,176,45,10,10,0,0
19,8,177,51,4,4,0,0
0,9,178,35,18,15,2,20
1,9,179,34,17,15,3,14
2,9,180,56,12,12,3,0
3,9,181,56,13,13,3,0
4,9,182,56,11,11,3,0
5,9,183,56,13,13,3,0
6,9,184,59,13,13,2,0
7,9,185,76,7,7,3,0
8,9,186,76,7,7,3,0
9,9,187,76,10,10,3,0
10,9,188,76,9,9,3,0
11,9,189,76,9,9,3,0
12,9,190,59,10,10,3,0
13,9,191,59,11,11,3,0
14,9,192,56,8,8,1,0
15,9,193,56,10,10,3,0
16,9,194,56,8,8,1,0
17,9,195,56,9,9,1,0
18,9,196,59,12,12,3,0
19,9,197,59,11,11,3,0
0,10,198,49,12,12,6,0
1,10,199,62,11,11,4,0
2,10,200,62,12,12,5,0
3,10,201,49,12,12,6,0
4,10,202,49,14,14,6,0
5,10,203,62,10,10,6,0
6,10,204,60,13,13,2,0
7,10,205,66,13,13,6,0
8,10,206,66,13,13,6,0
9,10,207,66,10,10,3,0
10,10,208,66,13,13,6,0
11,10,209,66,13,13,6,0
12,10,210,38,21,15,6,33
13,10,211,38,9,9,6,0
14,10,212,60,6,6,0,0
15,10,213,49,12,12,6,0
16,10,214,49,12,12,6,0
17,10,215,68,12,12,3,0
18,10,216,62,13,13,6,0
19,10,217,68,12,12,2,0
0,11,218,64,13,13,6,0
1,11,219,70,12,12,5,0
2,11,220,64,10,10,6,0
3,11,221,64,10,10,6,0
4,11,222,64,13,13,6,0
5,11,223,37,15,15,5,0
6,11,224,36,15,15,4,0
7,11,225,74,10,10,5,0
8,11,226,74,11,11,6,0
9,11,227,74,10,10,3,0
10,11,228,74,11,11,4,0
11,11,229,74,11,11,4,0
12,11,230,63,13,13,4,0
13,11,231,79,8,8,4,0
14,11,232,79,8,8,4,0
15,11,233,79,8,8,4,0
16,11,234,79,8,8,2,0
17,11,235,79,9,9,4,0
18,11,236,64,11,11,6,0
19,11,237,45,6,6,0,0
0,12,238,61,13,13,0,0
1,12,239,50,14,14,3,0
2,12,240,65,13,13,6,0
3,12,241,63,8,8,2,0
4,12,242,69,10,10,1,0
5,12,243,58,10,10,0,0
6,12,244,58,13,13,0,0
7,12,245,69,12,12,1,0
8,12,246,66,5,5,0,0
9,12,247,66,5,5,0,0
10,12,248,66,5,5,0,0
11,12,249,66,6,6,0,0
12,12,250,63,7,7,0,0
13,12,251,60,5,5,0,0
14,12,252,60,4,4,0,0
15,12,253,60,4,4,0,0
16,12,254,61,5,5,0,0
17,12,255,65,7,7,3,0
18,12,256,65,11,11,5,0
19,12,257,63,9,9,2,0
0,13,258,58,6,6,0,0
1,13,259,70,9,9,2,0
2,13,260,60,5,5,0,0
3,13,261,73,10,10,0,0
4,13,262,56,9,9,0,0
5,13,263,58,5,5,0,0
6,13,264,58,5,5,0,0
7,13,265,45,4,4,0,0
8,13,266,76,3,3,0,0
9,13,267,76,3,3,0,0
10,13,268,76,3,3,0,0
11,13,269,76,3,3,0,0
12,13,270,45,6,6,0,0
13,13,271,58,4,4,0,0
14,13,272,53,6,6,0,0
15,13,273,60,4,4,0,0
16,13,274,58,3,3,0,0
17,13,275,65,6,6,1,0
18,13,276,60,5,5,0,0
19,13,277,45,6,6,0,0
