ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-024.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1472
UNIQUE_PIXEL_TILES: 225
CONNECTED_OBJECT_GROUPS: 14

0000 0000 0000 0000 0000 0025 0026 0027 0000 0200 0201 0202 0203 0204 0205 0206 0207 0208 0209 020A 020B 020C 020D 020E 020F 0210 0211 0212 0213 0214 0215 0216
040D 040E 040F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0468 0469 046A 046B 046C 0000 0000 0000
042D 042E 042F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0412 0413 0414
0415 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0431 0432 0433 0434
0435 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0451 0452 0453 0454
0455 0456 0457 0458 0459 045A 045B 045C 045D 045E 0000 0000 04C0 04C1 04C2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0471 0472 0473 0474
0475 0476 0477 0478 0479 047A 047B 047C 047D 047E 0000 0000 04E0 04E1 04E2 04E3 0000 04E5 0000 0000 0000 04C6 0000 04C8 0000 0000 0000 0490 0491 0492 0493 0000
0000 0000 0000 0000 0000 0000 0000 049C 0000 0000 0000 0000 0000 0000 0000 0503 0504 0505 0000 0000 0000 04E6 04E7 04E8 0000 0000 0000 04B0 0000 0000 0000 04B4
0000 0000 0000 0000 0000 0000 0000 04BC 0000 0000 0000 0000 0000 0000 0000 0523 0524 0525 0000 0000 0000 0506 0507 0508 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 055A 055B 055C 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 057A 057B 057C 0000 0000 0000
0580 0581 0582 0583 0584 0585 0586 0587 0588 0589 058A 058B 058C 058D 058E 058F 0590 0591 0592 0000 0594 0595 0596 0597 0598 0599 059A 059B 0000 059D 059E 059F
05A0 05A1 05A2 05A3 05A4 05A5 05A6 05A7 05A8 05A9 05AA 05AB 05AC 05AD 05AE 05AF 05B0 05B1 05B2 05B3 05B4 05B5 05B6 05B7 05B8 05B9 05BA 05BB 0000 05BD 05BE 05BF
