ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-094.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1216
UNIQUE_PIXEL_TILES: 219
CONNECTED_OBJECT_GROUPS: 22

0020 0021 0022 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0036 0000 0000 0000 0000
0000 0000 0000 0000 02C0 02C1 02C2 0000 0000 0000 0000 0000 02C8 02C9 02CA 0000 0000 0000 0000 0000 0000 0000 0000 0276 0277 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 02E2 02E3 02E4 02E5 02E6 02E7 02E8 02E9 0000 0000 0000 0290 0291 0292 0293 0294 0295 0000 0000 0000 0000 0000 0000 0000 0000 0000
0278 0279 0000 0000 0000 0000 0000 0000 0000 0000 0000 0307 0308 0309 030A 0000 0000 02B0 02B1 02B2 02B3 02B4 02B5 0000 0000 0000 0000 0000 0000 0000 027A 027B
0298 0000 0000 0000 0000 0000 0000 0000 0000 0000 0326 0327 0328 0329 032A 032B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 029A 029B
02B8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0347 0348 0349 034A 034B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02BA 02BB
02D8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0368 0369 036A 0000 0000 0000 0000 0385 0386 0387 0000 0000 0000 0388 0389 038A 0000 0000 02DA 02DB
02F8 0000 0000 0000 0000 0000 0000 0000 0000 038E 038F 0000 0000 0000 0000 0000 0000 0000 0000 03A5 03A6 03A7 0000 0000 0000 03A8 03A9 03AA 0000 0000 02FA 02FB
0000 0000 0000 0000 0000 0000 0000 03AC 03AD 03AE 03AF 0000 0000 0000 0000 0000 0000 0000 0000 03C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 03CB 03CC 03CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E5 0000 0000 0000 0000 0000 0000 0000 0000 0390 0391 0392 0000
0000 0000 0000 0000 0000 0000 03EB 03EC 03ED 0000 0000 0000 0000 0000 0000 0000 0402 0403 0404 0000 0000 0000 0000 0000 0000 0000 0000 0000 03B0 03B1 03B2 0000
0000 0000 0393 0000 0000 0000 040B 040C 040D 0000 0000 0000 0000 0000 0420 0421 0422 0423 0424 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0440 0441 0442 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0395 0396 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0399 039A 039B 039C 0000 0000 0000
0000 0000 0000 03B4 03B5 03B6 03B7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03B9 03BA 03BB 03BC 03BD 0000 0000
0460 0000 0000 03D4 03D5 03D6 03D7 03D8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03DE 03DF
0480 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0462 0463 0464 0465 0466 0000 0000 0000 0000 0000 0000 0000 0000 03FD 03FE 03FF
04A0 04A1 0000 0000 0000 0467 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0482 0483 0484 0485 0486 0000 0000 0000 0000 0000 0000 0000 0000 041D 041E 041F
