ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-080.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1568
UNIQUE_PIXEL_TILES: 227
CONNECTED_OBJECT_GROUPS: 11

0000 0020 0021 0022 0000 0000 0000 0023 0024 0025 0026 0027 0028 0029 002A 002B 002C 0000 0000 0000 0074 0075 0076 0000 0000 0000 0000 0000 0462 0463 0464 0465
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01CA 0000 0000 01CD 01CE 01CF 01D0 01D1 01D2 01D3 01D4 01D5 01D6 01D7 01D8 0000 0000 0000 0000 0000 0000 0000
01E0 0000 046E 046F 0470 0000 0000 0000 0000 0000 01EA 0000 0000 01ED 01EE 01EF 0000 01F1 01F2 01F3 0000 0000 0000 0000 01F8 0000 0000 0000 0000 0000 0000 0476
0200 0000 048E 048F 0490 0000 0000 0000 0208 0209 020A 0000 0000 020D 0000 0000 0000 0000 0000 0213 0000 0000 0000 0000 0218 0000 0000 0000 0000 0000 0495 0496
0220 0000 0000 0000 0000 0000 0000 0000 0228 0229 022A 0000 0000 022D 0000 0000 0000 0000 0000 0233 0000 0000 0000 0000 0238 0000 04B1 04B2 04B3 04B4 04B5 04B6
0240 0000 0000 0000 0000 0000 0000 0000 0000 0000 024A 0000 0000 024D 0000 0000 0000 0000 0000 0253 0000 0000 0000 0000 0258 0000 04D1 04D2 04D3 04D4 04D5 04D6
0260 0261 0262 0000 0000 0000 0000 0000 0000 0000 026A 0000 0000 026D 0000 0000 0477 0000 0000 0273 0000 0000 0000 0000 0278 0000 0000 0000 0000 0000 04F5 04F6
0280 0281 0282 0000 0000 0000 0000 0000 0000 0000 028A 0000 0000 028D 0000 0000 0000 0000 0000 0293 0000 0000 0000 0000 0298 0000 0000 0000 0000 0000 0515 0516
02A0 02A1 02A2 0000 0000 0000 0000 0000 0000 0000 02AA 0000 0000 02AD 0000 0000 0000 02B1 02B2 02B3 0000 0000 0000 0000 02B8 02B9 02BA 0000 0000 0000 0535 0536
02C0 02C1 02C2 0000 0000 0000 0000 0000 0000 0000 02CA 0000 0000 02CD 02CE 0000 0000 02D1 02D2 02D3 0000 0000 0000 0000 02D8 02D9 02DA 0000 0553 0554 0555 0556
02E0 02E1 02E2 02E3 02E4 02E5 02E6 02E7 02E8 02E9 02EA 0000 0000 02ED 02EE 02EF 02F0 02F1 02F2 02F3 02F4 02F5 0000 0000 02F8 0000 0000 0000 0573 0574 0575 0576
0300 0301 0302 0303 0304 0305 0306 0307 0308 0309 030A 030B 030C 0000 0000 0000 0000 0000 0000 0313 0314 0315 0316 0317 0318 0000 0000 0000 0000 0000 0595 0596
0320 0321 0322 0000 0000 0000 0000 0000 0000 0000 032A 032B 032C 032D 0000 0000 0000 0000 0000 0000 0000 0335 0336 0337 0338 0000 0000 0000 0000 0000 05B5 05B6
0340 0341 0342 0000 0000 0000 0000 0000 0000 0000 034A 034B 034C 034D 0000 0000 0000 0000 0000 0000 0000 0355 0356 0357 0358 0000 0000 0000 0000 0000 05D5 05D6
0360 0361 0362 0000 0000 0000 0000 0000 0000 0000 036A 036B 036C 036D 036E 036F 0370 0371 0372 0373 0374 0375 0376 0377 0378 0379 037A 037B 037C 0000 05F5 05F6
0380 0381 0382 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0391 0392 0393 0000 0000 0000 0000 0398 0399 039A 039B 039C 0000 0615 0616
03A0 03A1 03A2 03A3 03A4 03A5 03A6 03A7 03A8 0000 0000 0000 03AC 03AD 03AE 0000 0000 0000 0000 03B3 03B4 03B5 0000 0000 0000 0000 03BA 03BB 03BC 0000 0000 0000
03C0 03C1 03C2 03C3 03C4 03C5 03C6 03C7 03C8 0000 0000 0000 03CC 03CD 03CE 0000 0000 0000 0000 03D3 03D4 03D5 0000 0000 0000 0000 03DA 03DB 03DC 0000 0000 0000
03E0 03E1 03E2 0000 03E4 03E5 03E6 03E7 03E8 03E9 03EA 0000 03EC 03ED 03EE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03FC 03FD 03FE 0000
0400 0401 0402 0000 0000 0000 0000 0000 0408 0409 040A 0000 040C 040D 040E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 041C 041D 041E 0000
0420 0421 0422 0423 0424 0425 0426 0427 0000 0429 042A 042B 042C 042D 042E 042F 0430 0431 0432 0000 0000 0000 0000 0000 0000 0439 043A 043B 043C 043D 043E 043F
0440 0441 0442 0443 0444 0445 0446 0447 0448 0449 044A 044B 044C 044D 044E 044F 0450 0451 0452 0453 0000 0000 0000 0000 0000 0459 045A 045B 045C 045D 045E 045F
