ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-091.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1184
UNIQUE_PIXEL_TILES: 132
CONNECTED_OBJECT_GROUPS: 32

0020 0000 0000 0000 0000 0000 0000 0026 0027 0028 0029 002A 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0036 0037 0038 0039 0000 0000 0000 003D 003E
01CF 01D0 01D1 0000 0000 0320 0321 0322 0000 0000 0323 0324 0325 0000 0000 0000 0000 0000 0000 0326 0327 0328 0000 0000 0000 0329 032A 032B 0000 0000 0179 017A
01EF 01F0 01F1 0000 0000 0340 0341 0342 0000 0000 0343 0344 0345 0000 0000 0000 032C 0000 0000 0346 0347 0348 0000 0000 0000 0349 034A 034B 0000 0000 0199 019A
020F 0210 0211 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B9 01BA
022F 0230 0231 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 032D 032E 032F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D9 01DA
024F 0250 0251 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 034D 034E 034F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01F9 01FA
026F 0270 0271 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0331 0332 0000 0000 0219 021A
028F 0290 0291 0000 0000 0000 0334 0335 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0350 0351 0352 0000 0000 0239 023A
02AF 0000 0000 0000 0000 0353 0354 0355 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0259 025A
02CF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0279 027A
02EF 02F0 02F1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0299 029A
030F 0310 0311 0000 0000 0336 0000 0000 0000 033C 033D 0000 0400 0401 0402 0000 0403 0404 0405 0000 0406 0407 0408 0000 0000 040A 040B 0000 0000 0000 02B9 02BA
0000 0000 0000 0000 0000 0356 0000 0000 035B 035C 035D 0000 0420 0421 0422 0000 0423 0424 0425 0000 0426 0427 0428 0000 0429 042A 042B 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0376 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 040C 040D 040E
0000 0000 0000 0000 0000 0396 0397 0398 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 042C 042D 042E
0000 0000 0000 0000 0000 03B6 03B7 03B8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 041D 041E 041F 0000 0000 0000 0000
0460 0461 0462 0000 0000 0000 0000 03D8 03D9 03DA 0000 0000 0430 0431 0432 0433 0434 0435 0436 0437 0438 0439 043A 043B 043C 043D 043E 043F 0000 0463 0000 0000
0480 0481 0482 0000 0000 0000 0000 03F8 0000 0000 0000 044F 0450 0451 0452 0453 0454 0455 0456 0457 0458 0459 045A 045B 045C 045D 045E 045F 0000 0000 0000 0464
