ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-112.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 672
UNIQUE_PIXEL_TILES: 123
CONNECTED_OBJECT_GROUPS: 21

0000 0021 0022 0023 0024 0025 0026 0027 0028 0029 002A 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0036 0037 0038 0039 003A 003B 003C 0000 0000 0000
01EA 01EB 01EC 0000 0000 0000 0000 0000 01CD 01CE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0190 0191 0192 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B0 01B1 01B2 0000 0000 0000 0000 0193 0194 0195 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B3 01B4 01B5 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0196 0197 0198 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0199 019A 019B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 01B6 01B7 01B8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B9 01BA 01BB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0200 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 021E 021F
0220 0000 0000 0223 0224 0000 0000 0227 0228 0000 0000 022B 022C 0000 0000 022F 0230 0231 0232 0233 0234 0235 0000 0237 0238 0000 0000 023B 023C 0000 023E 023F
0240 0000 0242 0243 0244 0000 0246 0247 0248 0000 024A 024B 024C 0000 024E 024F 0250 0251 0252 0253 0254 0255 0256 0257 0258 0000 025A 025B 025C 0000 025E 025F
0000 0261 0262 0263 0264 0265 0266 0267 0268 0269 026A 026B 026C 026D 026E 026F 0270 0271 0272 0273 0274 0275 0276 0277 0278 0279 027A 027B 027C 0000 0000 0000
0280 0281 0282 0283 0284 0285 0286 0287 0288 0289 028A 028B 028C 028D 028E 028F 0290 0291 0292 0293 0294 0295 0296 0297 0298 0299 029A 029B 029C 029D 0000 0000
