ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-067.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 448
UNIQUE_PIXEL_TILES: 87
CONNECTED_OBJECT_GROUPS: 30

0020 0000 0000 0000 0000 0021 0022 0023 0024 0000 0000 0000 0000 0000 0000 0000 0025 0026 0027 0028 0029 0000 0000 0000 0000 0000 0000 002A 002B 002C 002D 002E
00E5 00E6 00E7 0000 0000 0000 0000 0000 0000 0000 00AE 0000 0000 0000 0000 0000 0000 0000 00AF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0105 0106 0107 0000 0000 0000 0000 0000 0000 0000 00CE 0000 0000 0000 0000 0000 0000 0000 00CF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0128 0129 012A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0148 0149 014A 0000 0000 0000 0000 0000 0000 0000 00B0 0000 0000 0000 0000 0000 0000 0000 00B1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0168 0169 016A 0000 0000 0000 0000 0000 0000 0000 00D0 0000 0000 0000 0000 0000 0000 0000 00D1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00B2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B3 00B4
00D2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B5 0000 0000 0000 0000 0000 0000 0000 00BA 0000 0000 0000 0000 0000 00D3 00D4
00F2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D5 0000 0000 0000 0000 0000 0000 0000 00DA 0000 0000 0000 0000 0000 00F3 00F4
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F6 00F7 00F8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 00BB 00BC 00BD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0116 0117 0118 0000 0000 0000 0000 0000 0000 0000 00BE 0000 0000 0000 0000
0000 0000 0000 0000 00DB 00DC 00DD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0139 0000 0000 0000 0000 0000 0000 00DE 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0180 0181 0182 0000 0000 0000 0000 0000 0000 0000 0000 0000 0159 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 01A0 01A1 01A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0183 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A3 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0184 0185 0186 0187 0188 0189 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 018A 018B 018C 018D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01A4 01A5 01A6 01A7 01A8 01A9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01AA 01AB 01AC 01AD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
