ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-02.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 800
UNIQUE_PIXEL_TILES: 62
CONNECTED_OBJECT_GROUPS: 31

0020 0000 0000 0021 0022 0023 0024 0025 0000 0000 0000 002F 0030 0031 0000 0000 0000 0000 0000 0035 0036 0037 0000 0000 0000 0000 0000 0000 0000 0000 0038 0039
01B4 01B5 01B6 01B7 01B8 01B9 01BA 01BB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01D4 01D5 01D6 01D7 01D8 01D9 01DA 01DB 0000 0000 0000 0000 0220 0221 0222 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0224 0225 0226 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0240 0241 0242 0000 0227 0000 0000 0000 0000 0000 0000 0000 0000 0244 0245 0246 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0247 0248 0249 0000 0000 0000 0000 0000 0263 0264 0265 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0267 0268 0269 0000 0000 0000 0000 0000 0283 0284 0285 0000 0000 0000 0000 0000
0000 0000 022A 022B 022C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 022D 022E 022F
0000 0000 024A 024B 024C 0000 0000 0000 0000 0000 0000 0000 0230 0231 0232 0000 0000 0000 0000 0000 0000 0233 0234 0235 0000 0000 0000 0000 0000 024D 024E 024F
0000 0000 026A 026B 026C 0000 0000 0000 0236 0237 0238 0000 0250 0251 0252 0000 0239 023A 023B 0000 0000 0253 0254 0255 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0256 0257 0258 0000 0000 0000 0000 0000 0259 025A 025B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02A0 02A1 02A2 0000 0000 0000 0000 0000
0000 02A5 02A6 02A7 0000 0000 0000 0000 0000 02A8 02A9 02AA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C0 02C1 02C2 02C3 02C4 0000 0000 0000
0000 02C5 02C6 02C7 0000 0000 0000 0000 0000 02C8 02C9 02CA 0000 0000 02AB 02AC 02AD 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E2 02E3 02E4 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02CB 02CC 02CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 02B1 02B2 02B3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02EE 02EF 02F0 0000 0000 0000 0000 02B4 02B5 02B6 0000 0000 0000 0000 0000
0000 0000 0000 02D1 02D2 02D3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 030E 030F 0310 0000 0000 0000 0000 02D4 02D5 02D6 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 02B7 02B8 02B9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02F4 02F5 02F6 0000 0000 0000 0000 0000
02BA 0000 0000 0000 0000 0000 0000 0000 0000 02D7 02D8 02D9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0314 0315 0316 0000 0000 0000 02BB 02BC
02DA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02DB 02DC
