ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-088.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1664
UNIQUE_PIXEL_TILES: 228
CONNECTED_OBJECT_GROUPS: 18

0000 0000 0000 0000 0020 0021 0022 0023 0024 0000 0025 0000 0000 0000 0000 0000 0032 0033 0034 0035 0036 0000 0039 003A 003B 0000 02A0 02A1 02A2 0000 0000 0000
0388 0389 038A 0000 0000 0000 0188 0189 018A 018B 018C 018D 018E 0000 0190 0000 0192 0000 0000 0000 0000 0000 0198 0000 0000 0000 0000 0000 0000 0000 0000 0000
03A8 0000 0000 0000 0000 0000 01A8 01A9 01AA 01AB 01AC 01AD 01AE 0000 01B0 01B1 01B2 01B3 01B4 01B5 01B6 01B7 01B8 0000 0000 0000 0000 02B1 02B2 02B3 02B4 02B5
03C8 0000 0000 0000 01C6 01C7 01C8 0000 0000 0000 0000 0000 0000 0000 01D0 0000 01D2 01D3 01D4 01D5 01D6 01D7 01D8 0000 0000 0000 0000 02D1 02D2 02D3 02D4 02D5
03E8 0000 0000 0000 01E6 01E7 01E8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02F4 02F5
0408 0000 0000 0000 0206 0207 0208 0209 020A 020B 020C 020D 020E 020F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0314 0315
0000 0000 0000 0000 0226 0227 0228 0000 0000 0000 0000 022D 0000 0000 0000 02B6 0000 042B 042C 042D 042E 042F 0430 0431 0432 0433 0434 0000 0000 0000 0000 0000
0000 0000 0000 0000 0246 0247 0248 0249 024A 024B 024C 024D 024E 024F 0000 0000 0000 0000 0000 044D 0000 0000 0000 0000 0452 0453 0454 0455 0000 0000 0000 0000
0000 0000 0000 0000 0266 0267 0268 0269 026A 026B 026C 026D 026E 026F 0000 0469 0000 046B 046C 046D 046E 046F 0470 0471 0472 0473 0474 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0288 0289 028A 028B 028C 028D 028E 028F 0000 0489 0000 048B 048C 048D 048E 048F 0490 0491 0492 0493 0494 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04A9 04AA 04AB 04AC 04AD 04AE 04AF 04B0 04B1 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0436 0437 0438 0000 0000 0000 0000 0439 043A 043B 0000 04C9 0000 04CB 0000 0000 04CE 04CF 04D0 04D1 04D2 04D3 0000 0000 0000 0000 0000 0000
043C 043D 043E 0000 0456 0457 0458 0000 0000 0000 0000 0459 045A 045B 0000 04E9 0000 04EB 0000 0000 04EE 04EF 04F0 04F1 04F2 04F3 0000 0000 0000 0000 0000 0000
045C 045D 045E 0000 0476 0477 0478 0000 0000 0000 0000 0000 0000 0000 0000 0509 0000 050B 050C 050D 050E 0000 0510 0511 0512 0000 0000 0000 0620 0621 0622 0623
047C 047D 047E 0000 0496 0497 0498 0000 0000 0000 0000 0525 0526 0527 0000 0529 0000 052B 052C 052D 052E 052F 0530 0531 0532 0000 0000 0000 0640 0641 0642 0643
049C 049D 049E 0000 0000 0000 0000 0000 0000 0000 0000 0545 0546 0547 0000 0549 054A 054B 0000 0000 054E 054F 0550 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0560 0561 0562 0563 0564 0000 0000 0567 0568 0569 056A 056B 056C 056D 0000 056F 0570 0571 0572 0573 0574 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0580 0581 0582 0583 0584 0000 0000 0587 0588 0589 058A 058B 058C 058D 0000 058F 0590 0591 0592 0593 0594 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 05A3 05A4 05A5 05A6 05A7 0000 0000 0000 0000 05AC 05AD 05AE 05AF 05B0 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0625 0626 0627 0000 0000 05C0 05C1 05C2 05C3 05C4 05C5 05C6 05C7 0000 0000 0000 0000 05CC 05CD 05CE 05CF 05D0 0000 0000 0000 0000 0000 0000 0000 0000 0000
0644 0645 0646 0647 0000 0000 05E0 05E1 05E2 05E3 05E4 05E5 05E6 05E7 0000 0000 0000 0000 05EC 05ED 05EE 05EF 05F0 0000 0000 0000 0000 0628 0629 062A 062B 062C
0664 0000 0000 0000 0000 0000 0000 0000 0000 0603 0604 0605 0606 0607 0000 0000 0000 0000 060C 060D 060E 060F 0610 0000 0000 0000 0000 0648 0649 064A 064B 064C
