ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-093.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 2144
UNIQUE_PIXEL_TILES: 170
CONNECTED_OBJECT_GROUPS: 24

0000 0000 0000 0023 0024 0025 0026 0027 0028 0000 0000 002B 002C 002D 002E 002F 0030 0031 0032 0000 0000 0000 0036 0037 0038 0039 0000 003B 0000 003D 003E 0000
03C3 03C4 0000 0000 0000 0000 0000 03CA 0000 0000 0000 0000 01EC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0378 0379 037A 0000 0000 0000 033D 033E
03E3 03E4 03E5 0000 0000 0000 03E9 0000 0000 0000 0000 0000 0000 020D 0000 0000 02DF 0000 0000 0600 0000 0000 0000 0000 0000 0000 039A 0000 0000 0000 035D 035E
0403 0404 0405 0406 0000 0000 0409 0000 0000 0602 0000 0000 0000 022D 0000 0000 02FF 0000 0000 0620 0000 0000 0000 0603 0000 0000 03BA 0000 0000 037C 037D 037E
0423 0000 0000 0000 0000 0428 0429 042A 0000 0000 0000 0000 024C 024D 0000 0000 0000 0000 0000 0640 0641 0000 0000 0000 0000 0000 03DA 0000 0000 0000 0000 039E
0443 0000 0000 0000 0000 0448 0000 044A 0000 0000 0000 0000 026C 0000 0000 0000 0000 0000 0000 0000 0661 0000 0000 0000 0000 0000 0000 0000 0000 0000 03BD 03BE
0463 0464 0465 0466 0467 0000 0000 046A 0000 0289 028A 028B 028C 0000 0604 0605 0606 0607 0608 0000 0000 0000 0616 0617 0618 0000 0000 0000 03DB 03DC 03DD 03DE
0483 0484 0485 0000 0000 0000 0000 048A 0000 0000 0000 0000 02AC 0000 0624 0000 0000 0000 0628 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03FD 03FE
04A3 04A4 04A5 0000 0000 0000 04A9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0649 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 041D 041E
04C3 04C4 04C5 04C6 0000 0000 04C9 0000 0000 0000 0619 0000 0000 061B 0000 0000 061C 0000 0000 0669 0000 0000 061D 0000 0000 0000 0670 0000 0000 043C 043D 043E
0000 0000 0000 0000 0000 0000 04E9 0000 0000 0000 0000 0000 0000 063B 0000 0000 0000 0000 0000 0689 0000 0000 0000 0000 0000 0000 0690 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0508 0000 050A 0000 0000 0000 0000 065A 065B 0000 0000 0000 0000 0000 0000 06AA 06AB 0000 0000 0000 06AF 06B0 06B1 06B2 0000 0000 0000
0000 0000 0000 0000 0000 0528 0000 052A 0000 0000 0000 0000 067A 0000 0000 0000 0000 0000 0000 06C9 06CA 06CB 0000 0000 06CE 06CF 06D0 06D1 06D2 0000 0000 0000
0543 0544 0545 0546 0547 0548 0549 054A 054B 054C 054D 0000 0000 0000 07A6 07A7 07A8 07A9 0000 0000 06EA 06EB 06EC 06ED 06EE 06EF 06F0 0000 06F2 06F3 06F4 06F5
0563 0564 0000 0000 0567 0568 0569 056A 056B 0000 0000 0000 0000 07C5 07C6 07C7 0000 0000 0000 0709 070A 070B 0000 0000 070E 070F 0710 0000 0000 0000 0714 0715
0583 0584 0585 0000 0000 0000 0589 0000 0000 0000 0000 0000 0000 07E5 0000 0000 0000 0000 0000 0729 0000 0000 0000 0000 0000 0000 0730 0000 0000 0000 0000 0735
05A3 05A4 05A5 05A6 0000 0000 05A9 0000 0000 0801 0000 0000 0000 0805 0000 0000 0746 0000 0000 0749 0000 0000 07AB 0000 0000 0000 0750 0000 0000 0753 0754 0755
0000 0000 05C5 05C6 05C7 0000 05C9 0000 0820 0821 0822 0823 0824 0825 0000 0765 0766 0767 0768 0769 0000 07CA 07CB 07CC 0000 0000 0770 0771 0772 0000 0000 0000
0000 0000 05E5 05E6 05E7 0000 0000 0000 0840 0841 0842 0843 0844 0845 0000 0785 0786 0787 0788 0789 0000 07EA 07EB 07EC 0000 0000 0790 0791 0792 0000 0000 0000
