ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-057.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 2304
UNIQUE_PIXEL_TILES: 184
CONNECTED_OBJECT_GROUPS: 27

0020 0021 0022 0000 0000 0000 0000 0000 0000 0023 0024 0025 0000 0026 0027 0028 0029 0000 0000 0000 0000 0000 0000 0000 0000 00B5 00B6 00B7 0000 0000 00BB 00BC
0000 0000 0000 0000 0562 0000 0000 0000 08A3 08A4 08A5 0000 0000 0000 0000 07ED 07EE 07EF 07F0 07F1 07F2 07F3 07F4 07F5 07F6 0000 0000 0000 02F8 0000 0000 0000
0000 0000 0000 0000 0582 0000 0000 0000 08C3 08C4 08C5 0000 0000 0000 0000 080D 080E 080F 0810 0811 0812 0813 0814 0815 0816 0817 0818 0000 0318 0000 0000 0000
08A6 0000 0000 0000 05A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 082D 082E 082F 0830 0831 0832 0833 0834 0835 0836 0837 0838 0000 0338 0000 08A7 08A8
08C6 0000 0000 0000 05C2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 084D 084E 084F 0850 0851 0852 0853 0854 0855 0856 0857 0858 0000 0358 0000 08C7 08C8
0000 0000 05E0 05E1 05E2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 086F 0870 0871 0000 0000 0000 0000 0000 0000 0000 0000 0378 0000 0000 0000
0000 0000 0600 0601 0602 0000 08A9 08AA 08AB 0000 0000 0000 0000 0000 0000 0000 0000 088F 0890 0891 0000 0000 0000 0000 0000 0000 0000 0000 0398 0000 0000 0000
0000 0000 0000 0000 0622 0000 08C9 08CA 08CB 08CC 08CD 08CE 08CF 08D0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03B6 03B7 03B8 03B9 03BA 0000
08B1 08B2 08B3 0000 0642 0000 0000 0000 08EB 08EC 08ED 08EE 08EF 08F0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03D6 03D7 03D8 03D9 03DA 0000
08D1 08D2 08D3 0000 0662 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 08B4 08B5 08B6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0682 0683 0684 0000 0686 0687 0688 0689 0000 0000 0000 0000 0000 08D4 08D5 08D6 0000 0000 0000 0000 0000 0000 0698 0699 069A 0000 0000 0000
0000 0000 0000 0000 06A2 06A3 06A4 0000 06A6 06A7 06A8 06A9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 06B8 06B9 06BA 0000 0000 0000
0000 0000 0000 0000 06C2 06C3 06C4 06C5 06C6 06C7 06C8 06C9 06CA 06CB 06CC 06CD 06CE 06CF 06D0 06D1 06D2 06D3 06D4 06D5 06D6 06D7 06D8 06D9 06DA 0000 0000 0000
08B7 08B8 08B9 0000 0000 0000 06E4 06E5 06E6 0000 06E8 06E9 06EA 0000 0000 0000 0000 0000 0000 0000 06F2 06F3 06F4 0000 0000 0000 06F8 06F9 06FA 0000 08BA 08BB
08D7 08D8 08D9 0000 0000 0000 0704 0705 0706 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0712 0713 0714 0000 0000 0000 0000 0000 0000 0000 08DA 08DB
