ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-026.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1312
UNIQUE_PIXEL_TILES: 196
CONNECTED_OBJECT_GROUPS: 19

0000 0000 0000 0000 0000 0000 0021 0022 0023 0000 0000 0000 0027 0028 0029 002A 002B 0000 0000 0000 0000 0000 002C 002D 002E 002F 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0266 0267 0268 0000 0000 0000 026C 026D 026E 0000 0000 0000 0000 0000 0274 0275 0276 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0286 0287 0288 0289 0000 0000 028C 028D 028E 0000 0000 0291 0292 0293 0000 0000 0000 0000 0000 0000 0300 0301 0302 0303 0304 0000
0000 0000 0000 0000 0000 0000 02A6 02A7 02A8 02A9 0000 0000 0000 0000 0000 02AF 0000 02B1 02B2 02B3 0000 0000 0000 0000 0000 0000 0320 0321 0322 0323 0324 0000
0305 0306 0307 0308 0000 0000 02C6 02C7 02C8 02C9 0000 0000 0000 0000 0000 02CF 02D0 02D1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0325 0326 0327 0328 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02EF 02F0 02F1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0345 0346 0347 0348 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0309 030A 030B 0000 0000 030D 030E 030F 0000 0311 0312 0313 0314 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 03E3 03E4 03E5 0000 0000 0000 0000 0000 0000 0329 032A 032B 0000 0000 032D 032E 032F 0330 0331 0332 0333 0334 0335 0336 0337 0338 0000 0000 0000
0000 0000 0000 0403 0404 0405 0000 0407 0408 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 034F 0350 0351 0352 0353 0354 0355 0356 0357 0358 0000 0000 0000
0420 0421 0422 0423 0424 0000 0426 0427 0428 0429 0000 0000 0000 0000 0000 0000 0000 0000 0000 036F 0370 0371 0372 0373 0374 0375 0376 0377 0000 0379 037A 037B
0440 0441 0442 0443 0444 0445 0446 0447 0448 0449 0000 0000 0000 0000 0000 0000 0000 0000 0000 038F 0390 0391 0000 0000 0394 0395 0396 0000 0000 0399 039A 039B
0000 0461 0462 0463 0464 0000 0466 0467 0468 0000 0000 0000 0000 0000 0000 0000 03AC 03AD 03AE 03AF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0488 0489 048A 0000 0000 0000 0000 0000 03CC 03CD 03CE 03CF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 04A7 04A8 04A9 04AA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 04C6 04C7 04C8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 03EB 03EC 0000 04E5 04E6 04E7 04E8 0000 0000 0000 03ED 03EE 03EF 03F0 0000 03F1 03F2 03F3 0000 0000 0000 03F4 03F5 03F6 0000 0000 0000 03F7 03F8 0000
0000 0000 0000 0000 0000 0000 0506 0507 0508 0000 0000 0000 040D 040E 040F 0410 0000 0411 0412 0413 0000 0000 0000 0414 0415 0416 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
