ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-03.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1600
UNIQUE_PIXEL_TILES: 96
CONNECTED_OBJECT_GROUPS: 23

0000 0000 0020 0021 0022 0023 0024 0000 0000 0000 0027 0028 0029 0000 0000 002A 002B 002C 0000 0000 0000 0000 0000 0000 0000 002D 002E 002F 0000 0037 0038 0039
02A9 02AA 0000 0000 0000 0000 0000 0000 0000 0400 0401 0402 0403 0404 0405 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E7 03E8 03E9 0000 03C8
0000 0000 0000 0000 03EE 03EF 03F0 0000 0000 0420 0421 0422 0423 0424 0425 0000 0000 03F1 03F2 03F3 03F4 03F5 03F6 03F7 03F8 03F9 0000 0407 0408 0409 0000 0000
040A 040B 040C 040D 040E 040F 0410 0000 0000 0000 0000 0000 0443 0444 0445 0000 0000 0411 0412 0413 0414 0415 0416 0417 0418 0419 0000 0000 0000 0000 0000 03FE
042A 042B 042C 042D 042E 0000 0000 0000 0480 0481 0482 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0435 0436 0437 0000 0000 0000 0000 0000 041C 041D 041E
0000 0000 0000 0000 0000 0000 0000 0000 04A0 04A1 04A2 0000 0000 0000 0485 0486 0487 0000 0000 0000 0000 0000 0000 0457 0458 0459 0000 043A 043B 043C 043D 043E
0500 0501 0502 0503 0504 0505 0000 0000 0000 0000 04C2 04C3 04C4 0000 04A5 04A6 04A7 0000 0000 0513 0514 0515 0000 0477 0478 0479 0000 045A 045B 045C 0000 0000
0520 0521 0522 0523 0524 0525 0000 0000 0000 0000 04E2 04E3 04E4 0000 0000 0000 0000 0000 0000 0533 0534 0535 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0542 0543 0544 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 054F 0550 0551 0000 0553 0554 0555 0000 0557 0558 0559 0000 0000 0000 055D 055E 055F
0000 0000 0562 0563 0564 0000 0000 0000 0568 0569 056A 0000 0000 0000 0000 056F 0570 0571 0572 0573 0574 0575 0000 0577 0578 0579 057A 057B 057C 057D 057E 057F
0000 0000 0000 0000 0000 0585 0586 0587 0588 0589 058A 058B 058C 058D 058E 0000 0000 0591 0592 0593 0000 0000 0000 0000 0000 0599 059A 059B 059C 059D 0000 0000
0000 0000 0000 0000 0000 05A5 05A6 05A7 05A8 05A9 05AA 05AB 05AC 05AD 05AE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 05BD 05BE 05BF
05C0 0000 05C2 05C3 05C4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 05CF 05D0 05D1 0000 0000 0000 05D5 05D6 05D7 05D8 05D9 05DA 0000 0000 05DD 05DE 05DF
05E0 0000 05E2 05E3 05E4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 05EF 05F0 05F1 0000 0000 0000 05F5 05F6 05F7 05F8 05F9 05FA 0000 0000 0000 05FE 05FF
0600 0601 0602 0000 0000 0000 0000 0000 0000 0000 0000 0000 060C 060D 060E 0000 0000 0000 0612 0613 0614 0000 0000 0000 0000 0619 061A 061B 061C 061D 061E 0000
0620 0621 0622 0000 0000 0000 0000 0000 0000 0000 0000 0000 062C 062D 062E 0000 0000 0000 0632 0633 0634 0000 0000 0000 0000 0639 063A 063B 063C 063D 063E 0000
