ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-025.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1600
UNIQUE_PIXEL_TILES: 250
CONNECTED_OBJECT_GROUPS: 18

0000 0000 0022 0023 0024 0025 0026 0027 0028 0029 0000 002B 0000 0000 0000 0000 0030 0031 0032 0000 0034 0000 0000 0037 0038 0000 003A 003B 003C 0000 0000 0000
0180 0181 0182 0000 0000 02E5 0000 0000 0000 0000 0000 0000 02C5 0000 0000 0000 0000 0000 0000 02C6 0000 0000 0000 0000 0000 0000 019A 019B 019C 019D 019E 019F
0000 0000 0000 0000 0304 0305 0306 0000 0000 0000 0000 0000 0000 0000 0562 0000 0000 0568 0000 0000 0000 0000 0000 0000 0000 01B9 01BA 01BB 01BC 01BD 0000 0000
0000 0000 0000 0323 0324 0325 0326 0000 0000 0000 0000 0000 0000 0000 0582 0000 0000 0588 0000 0000 0000 0000 0000 0000 0000 01D9 01DA 01DB 01DC 01DD 01DE 01DF
0000 0000 0342 0343 0344 0345 0346 0000 0000 056B 0000 0000 05A0 05A1 05A2 0000 0000 05A8 05A9 05AA 0000 0000 056C 0000 0000 01F9 01FA 01FB 01FC 01FD 01FE 01FF
0000 0361 0362 0363 0364 0365 0366 0000 0000 058B 0000 0000 0000 0000 0000 0000 05C7 0000 0000 0000 0000 0000 058C 0000 0000 0219 021A 021B 021C 021D 021E 0000
0380 0381 0382 0383 0384 0385 0386 0000 0000 05AB 0000 0000 0000 0000 0000 05E6 0000 0000 0000 0000 0000 0000 05AC 0000 0000 0239 023A 023B 023C 023D 023E 0000
03A0 03A1 03A2 03A3 03A4 03A5 03A6 0000 0000 05CB 0000 0000 0603 0604 0605 0000 0000 056D 056E 056F 0000 0000 05CC 0000 0000 0259 025A 025B 025C 025D 0000 0000
0000 0000 03C2 03C3 03C4 03C5 03C6 0000 0000 0000 0000 0000 0000 0000 0625 0000 0000 058D 0000 0000 0000 0000 0000 0000 0000 0279 027A 027B 027C 0000 0000 0000
0000 03E1 03E2 03E3 03E4 03E5 03E6 0000 0000 0000 0000 0000 0570 0000 0000 0000 0000 0000 0000 0571 0000 0000 0000 0000 0000 0299 029A 029B 0000 0000 03FE 0000
0400 0401 0402 0000 0000 0000 0000 0000 0000 0000 0000 0000 0590 0000 0000 0000 0000 0000 0000 0591 0000 0000 0000 0000 0000 0000 0000 0000 0000 041D 041E 041F
0000 0421 0422 0423 0000 0000 0426 0000 0000 0000 0572 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0573 0000 0000 0000 0439 0000 0000 043C 043D 043E 0000
0000 0441 0442 0443 0444 0000 0446 0000 0000 0000 0000 0000 0000 0000 0574 0575 0576 0577 0000 0000 0000 0000 0000 0000 0000 0459 0000 045B 045C 045D 045E 045F
0460 0461 0462 0463 0464 0465 0466 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0479 047A 047B 047C 047D 047E 047F
0480 0481 0482 0483 0484 0485 0486 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0499 049A 049B 049C 049D 049E 049F
04A0 04A1 04A2 04A3 04A4 04A5 04A6 04A7 04A8 04A9 04AA 0000 04AC 04AD 04AE 04AF 04B0 04B1 04B2 04B3 0000 04B5 04B6 04B7 04B8 04B9 0000 04BB 04BC 04BD 04BE 04BF
0000 0000 0000 04C3 04C4 04C5 04C6 04C7 04C8 0000 0000 04CB 04CC 04CD 04CE 04CF 04D0 04D1 04D2 04D3 04D4 0000 0000 04D7 04D8 04D9 04DA 04DB 04DC 0000 0000 0000
0000 0000 0000 0000 04E4 04E5 04E6 04E7 04E8 04E9 0000 04EB 04EC 04ED 04EE 04EF 04F0 04F1 04F2 04F3 0000 0000 04F6 04F7 04F8 04F9 04FA 04FB 0000 04FD 04FE 04FF
0578 0579 057A 0000 0000 0505 0506 0507 0508 0509 050A 050B 050C 050D 050E 050F 0510 0511 0512 0000 0000 0515 0516 0517 0518 0519 051A 0000 0000 051D 051E 051F
0598 0599 059A 059B 0000 0525 0526 0527 0528 0529 052A 052B 0000 052D 052E 052F 0530 0000 0000 0000 0534 0535 0536 0537 0538 0539 053A 053B 053C 053D 0000 0000
0000 05B9 05BA 05BB 0000 0545 0546 0547 0548 0549 054A 054B 054C 054D 054E 054F 0000 0000 0000 0553 0554 0555 0556 0557 0558 0559 055A 055B 055C 055D 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
