ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-06.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1216
UNIQUE_PIXEL_TILES: 73
CONNECTED_OBJECT_GROUPS: 37

0020 0000 0021 0022 0023 0000 0024 0025 0026 0000 0031 0032 0033 0000 0035 0036 0037 0038 0039 003A 003B 0000 003D 003E 003F 0000 0120 0121 0122 0123 0124 0125
0000 0000 0000 0206 0207 0208 0209 020A 020B 020C 020D 020E 020F 0000 0192 0193 0194 0195 0196 0000 0198 0199 019A 0000 0000 0000 0000 0000 0243 0244 0245 0000
0000 0000 0000 0000 0000 0000 0229 022A 022B 0000 022D 022E 022F 0000 01B2 01B3 01B4 0000 0000 0000 01B8 01B9 01BA 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 01F0 01F1 01F2 0000 0000 0000 0000 0000 0000 024D 024E 024F 0000 0000 0000 0000 0000 0000 0000 01D8 01D9 01DA 0000 0000 01F4 01F5 01F6 0000 01F7 01F8 01F9
0000 0210 0211 0212 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0214 0215 0216 0000 0217 0218 0219
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01FA 01FB 01FC 0000 0233 0234 0235 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0268 0269 026A 0000 0000 026B 0000 0000 0000 021A 021B 021C 0000 0253 0254 0255 0000 0000 0000 0000 0000
026C 0000 026D 026E 026F 0000 0000 0284 0285 0286 0000 0288 0289 028A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0270 0271
028C 0000 028D 028E 028F 0000 0000 02A4 02A5 02A6 02A7 0000 0000 0000 0000 0000 0000 0000 0272 0273 0274 0000 0000 0000 0000 0000 0000 0000 0000 0000 0290 0291
0000 0000 0000 0000 0000 0000 0000 0000 02C5 02C6 02C7 0000 0000 0000 0000 0000 0000 0000 0292 0293 0294 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0275 0276 0277 0278 0000 02E2 02E3 02E4 0000 0000 0000 0000 0279 027A 027B 0000 0000 0000 02B2 02B3 02B4 0000 0380 0381 0382 0000 0383 0384 0385 0000 0386 0387
0295 0296 0297 0298 0000 0302 0303 0304 0000 0000 0000 0000 0299 029A 029B 0000 0000 0000 02D2 02D3 02D4 0000 03A0 03A1 03A2 0000 03A3 03A4 03A5 0000 03A6 03A7
02B5 0000 0000 0000 0000 0000 0323 0324 0325 0000 0000 0000 0000 0000 02BB 02BC 02BD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03C6 03C7
02D5 0000 0000 0340 0341 0342 0343 0344 0345 0000 0000 0000 0000 0000 02DB 02DC 02DD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E6 03E7
0000 0000 0000 0360 0361 0362 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 038B 038C 038D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 038E 038F 0390 0000 0000 0000 0000 0000 03A8 03A9 03AA 03AB 03AC 03AD 0000 0000 0391 0392 0393 0000 0000 0000 0000 0000
0394 0000 0000 0000 0398 0399 039A 0000 03AE 03AF 03B0 0000 0000 0000 0000 0000 03C8 03C9 03CA 0000 0000 0000 0000 0000 03B1 03B2 03B3 0000 0000 0000 039B 039C
03B4 03B5 03B6 03B7 03B8 03B9 03BA 0000 03CE 03CF 03D0 0000 0422 0423 0424 0000 03E8 03E9 03EA 0000 0425 0426 0427 0000 0000 0000 0000 0000 0000 0000 03BB 03BC
0000 03D5 03D6 03D7 0000 0000 0000 0000 03EE 03EF 03F0 0000 0442 0443 0444 0000 0408 0409 040A 0000 0445 0446 0447 0000 0000 0000 0000 0000 0000 0000 0000 0000
03F4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0462 0463 0464 0000 0000 0000 0000 0000 0465 0466 0467 0000 0000 0000 0000 0000 0000 0000 042A 042B
0414 0000 042C 042D 042E 0000 042F 0430 0431 0000 0480 0481 0482 0483 0484 0000 0000 0000 0000 0000 0000 0000 0000 0000 0432 0433 0434 0000 0448 0449 044A 044B
0000 0000 044C 044D 044E 0000 044F 0450 0451 0000 04A0 04A1 04A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0452 0453 0454 0000 0468 0469 046A 0000
