ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-098.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1696
UNIQUE_PIXEL_TILES: 191
CONNECTED_OBJECT_GROUPS: 25

0020 0021 0022 0023 0024 0025 0026 0027 0028 0029 0000 0000 002C 002D 002E 002F 0030 0000 0180 0181 0182 0000 0000 0185 0186 0187 0188 0189 018A 0000 0000 018C
02CC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0320 0321 0322 0000 0000 0000 0000 0000 0328 0329 032A 0000 0000 028F 0290 0291 0292 0000 0000 02CD 02CE
02EC 0000 0000 0000 0000 0000 0000 02D6 02D7 0000 0000 0000 0000 0000 0343 0344 0345 0000 0000 0000 0000 0000 0000 02AE 02AF 02B0 0000 0000 0000 0000 02ED 02EE
0000 0000 0000 0000 02F3 02F4 02F5 02F6 02F7 0000 0000 0000 0000 0000 0363 0364 0365 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0312 0313 0314 0000 0000 0000 0000 0000 03A8 03A9 0000 0000 0000 0000 0000 0000 0000 0000 03AB 03AC 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0330 0331 0332 0000 0000 0000 0000 0000 0000 03C7 03C8 03C9 0000 0000 0000 0000 0000 0000 0000 03CA 03CB 03CC 0000 0000 0000 0000 0000 03B1 03B2 03B3 0000
0000 0350 0351 0352 0000 0000 03E3 03E4 0000 03E6 03E7 03E8 0000 0000 0000 0000 03B4 0000 0000 0000 0000 0000 03EC 03ED 03EE 0000 0000 0000 03D1 03D2 03D3 0000
036F 0370 0000 0000 0000 0402 0403 0404 0405 0406 0407 0408 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 040C 040D 040E 0000 0000 0000 0000 0000 0000 0000
038F 0390 0000 0000 0000 0000 0000 0424 0425 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 042A 042B 042C 0000 0000 042F 0430 0000 0000 0000 0000 03B5
0000 0000 0000 0000 0000 0000 0443 0444 0445 0000 0000 0000 03B6 03B7 03B8 0000 0000 0000 0000 0000 044A 044B 044C 0000 044E 044F 0450 0000 0000 0000 0000 0000
0000 0000 0000 0000 0461 0462 0000 0000 0000 0000 0000 0000 03D6 03D7 03D8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
03B9 0000 0000 0480 0481 0482 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03BC 03BD 0000 0000 0000 0000 04A1 04A2 0000 0000 0000 0000 04A4 04A5 04A6
03D9 03DA 0000 0000 0000 0000 0000 0000 0000 04E5 04E6 04E7 0000 0000 0000 0000 03DB 03DC 03DD 0000 0000 0000 04C0 04C1 04C2 0000 0000 0000 04C3 04C4 04C5 04C6
0000 0000 0000 0000 0000 0000 0000 0000 0000 0505 0506 0507 0000 0509 050A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
04FC 04FD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0528 0529 052A 0000 0000 0000 0000 0620 0621 0622 0000 0000 0000 0624 0625 0000 0000 0000 0000 0000
051C 051D 0000 0000 0000 0000 0542 0543 0544 0545 0546 0547 0000 0000 0000 0000 0000 0000 0000 0640 0641 0642 0000 0000 0643 0644 0645 0000 0000 0000 0000 055B
0000 0000 0000 0000 0000 0000 0562 0563 0564 0565 0566 0567 0000 0569 056A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0578 0579 057A 0000
0626 0627 0000 0000 0000 0581 0582 0000 0000 0000 0000 0000 0588 0589 058A 0000 0000 0000 0000 0000 0000 0591 0592 0593 0000 0000 0000 0000 0598 0599 059A 059B
0646 0647 0000 0000 05A0 05A1 05A2 05A3 05A4 0000 0000 0000 0000 0000 0000 05AB 05AC 05AD 0000 0000 0000 05B1 05B2 05B3 05B4 05B5 05B6 05B7 05B8 05B9 0000 05BB
0666 0667 0000 0000 0000 0000 05C2 05C3 05C4 05C5 05C6 05C7 0000 0000 0000 05CB 05CC 05CD 0000 05CF 05D0 0000 0000 0000 05D4 05D5 05D6 0000 0000 0000 0000 0000
0686 0687 0000 0000 0000 0000 0000 05E3 05E4 05E5 05E6 05E7 05E8 05E9 05EA 0000 0000 0000 05EE 05EF 05F0 0000 0000 0000 05F4 05F5 05F6 05F7 05F8 0000 0000 0628
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0606 0607 0608 0609 060A 0000 0000 0000 060E 060F 0610 0000 0000 0613 0614 0615 0616 0617 0618 0000 0000 0648
