ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-063.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 800
UNIQUE_PIXEL_TILES: 117
CONNECTED_OBJECT_GROUPS: 27

0020 0021 0022 0023 0024 0000 0000 0000 0000 0000 0000 0000 0000 0025 0026 0027 0000 0028 0029 002A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 002B 002C
0000 0000 0000 0000 0140 0141 0000 0143 0144 0145 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 014E 014F 0150 0000 0152 0153 0000 0000 0000
0000 0000 0000 0000 0160 0000 0000 0163 0164 0165 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 016E 016F 0170 0000 0000 0173 0000 0000 0000
0000 0000 0000 0000 0000 0181 0182 0183 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0190 0191 0192 0000 0000 0000 0000
0000 0000 0000 0000 0000 01A1 01A2 01A3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B0 01B1 01B2 0000 0000 0000 0000
00D7 00D8 00D9 00DA 0000 0000 01C2 01C3 01C4 01C5 01C6 0000 0000 0000 0000 0000 00DB 0000 0000 0000 0000 0000 01CD 01CE 01CF 01D0 01D1 0000 0000 00DC 00DD 00DE
0000 00F8 00F9 00FA 0000 0000 01E2 01E3 01E4 01E5 01E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01ED 01EE 01EF 01F0 01F1 0000 0000 00FC 00FD 00FE
0000 0118 0119 011A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0200 0201 0202 0000 0203 0204 0205 0000 0000 0000 0000 0000 0000 0000 0000 0000 011C 011D 011E
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0220 0221 0222 0000 0223 0224 0225 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 020A 020B 020C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 020D 020E 020F 0000 0000 0000 0000
0000 0000 0000 0000 0000 022A 022B 022C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0214 0215 0216 0000 0000 022D 022E 022F 0000 0000 0000 0000
0000 0000 0000 0248 0249 024A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0234 0235 0236 0000 0000 0000 0000 024F 0250 0251 0000 0000
0000 0000 0000 0268 0269 026A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0218 0219 021A 0000 0000 0000 0000 0000 0000 0000 0000 0000 026F 0270 0271 0000 0000
0000 0286 0287 0288 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0237 0238 0239 023A 023B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0291 0292 0293
0000 02A6 02A7 02A8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0257 0258 0259 025A 025B 025C 025D 0000 0000 0000 0000 0000 0000 0000 0000 02B1 02B2 02B3
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0277 0000 0000 0000 027B 027C 027D 0000 0000 0000 0000 02C0 02C1 02C2 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E0 02E1 02E2 0000 0000 0000 0000
02C3 02C4 02C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
02E3 02E4 02E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C6 02C7 02C8 0000 0000 0000 02C9 02CA 02CB 0000 0000 0000 0000 0000 0000 0000 0000 02CC 02CD 02CE
0303 0304 0305 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E6 02E7 02E8 0000 0000 0000 02E9 02EA 02EB 0000 0000 0000 0000 0000 0000 0000 0000 02EC 02ED 02EE
