ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-070.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1216
UNIQUE_PIXEL_TILES: 153
CONNECTED_OBJECT_GROUPS: 17

0020 0021 0022 0000 0000 0023 0024 0025 0000 0000 0000 0000 0000 0000 0026 0027 0028 0000 0000 0000 0000 0000 0000 0000 0000 0000 0029 002A 002B 002C 002D 002E
0179 017A 017B 0000 0200 0201 0000 0203 0000 0000 0206 0207 0208 0000 0000 0000 0000 0000 0000 0000 0210 0211 0212 0213 0214 0215 0000 0217 0218 0000 0000 0000
0000 0000 0000 0000 0220 0221 0000 0223 0224 0225 0226 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0232 0233 0234 0235 0000 0237 0238 0000 0000 0000
0000 0000 0000 0000 0240 0000 0000 0243 0244 0245 0246 0000 0000 0249 024A 024B 024C 024D 024E 024F 0000 0000 0252 0000 0000 0255 0000 0000 0258 0000 0000 0000
0000 011E 0000 0000 0260 0000 0000 0263 0000 0000 0266 0000 0000 0269 026A 0000 0000 0000 0000 026F 0000 0000 0272 0000 0000 0275 0000 0000 0278 0000 0000 0000
0000 0000 0000 0000 0280 0281 0282 0283 0000 0000 0286 0287 0000 0289 0000 0000 0000 0000 0000 028F 0000 0000 0292 0000 0000 0295 0296 0297 0298 0000 0000 0000
0000 0000 0000 0000 02A0 02A1 02A2 02A3 02A4 02A5 02A6 02A7 02A8 02A9 0000 0000 011F 0000 0000 02AF 0000 0000 02B2 02B3 02B4 02B5 02B6 02B7 02B8 0000 0000 0000
0000 0000 0000 0000 02C0 0000 0000 02C3 02C4 02C5 02C6 0000 0000 02C9 0000 0000 0000 0000 0000 02CF 0000 0000 02D2 02D3 02D4 02D5 0000 0000 02D8 0000 0000 0000
0000 0000 0000 0000 02E0 0000 0000 02E3 0000 0000 02E6 0000 0000 02E9 0000 0000 0000 0000 0000 02EF 0000 0000 02F2 0000 0000 02F5 0000 0000 02F8 0000 0000 0000
0000 0000 0000 0000 0300 0301 0000 0303 0000 0000 0306 0000 0000 0309 030A 030B 030C 030D 030E 030F 0000 0000 0312 0313 0314 0315 0000 0000 0318 0000 0000 0000
0440 0441 0442 0000 0320 0321 0000 0323 0000 0000 0326 0327 0328 0329 032A 032B 0000 0000 0000 0000 0330 0331 0332 0333 0334 0335 0000 0337 0338 0000 0443 0444
0460 0461 0462 0000 0340 0000 0000 0343 0000 0000 0346 0347 0348 0349 034A 034B 0000 0000 0000 0000 0350 0351 0352 0000 0000 0355 0000 0357 0358 0000 0463 0464
0480 0000 0000 0000 0360 0000 0000 0363 0000 0000 0366 0367 0368 0369 036A 036B 036C 036D 036E 036F 0370 0371 0372 0000 0000 0375 0376 0377 0378 0000 0483 0484
04A0 0000 0000 0000 0380 0381 0382 0383 0384 0385 0000 0000 0388 0389 0000 038B 038C 038D 0000 038F 0390 0391 0000 0393 0394 0395 0396 0397 0398 0000 04A3 04A4
0000 0000 0000 0000 03A0 03A1 03A2 03A3 03A4 03A5 0000 0000 03A8 03A9 0000 03AB 03AC 03AD 0000 03AF 03B0 03B1 0000 03B3 03B4 03B5 0000 0000 03B8 0000 0000 0000
0000 0000 0000 0000 03C0 0000 0000 03C3 03C4 03C5 03C6 03C7 03C8 03C9 03CA 03CB 03CC 03CD 03CE 03CF 03D0 03D1 03D2 03D3 03D4 03D5 0000 0000 03D8 0000 0000 0000
0445 0446 0447 0000 03E0 03E1 0000 0000 0000 03E5 03E6 03E7 03E8 0000 0000 0000 03EC 03ED 03EE 0000 0000 03F1 0000 0000 0000 0000 0000 03F7 03F8 0000 0000 0000
0465 0466 0467 0000 0400 0401 0000 0000 0000 0405 0406 0407 0408 0000 0000 0000 040C 040D 040E 0000 0000 0411 0000 0000 0000 0000 0416 0417 0418 0000 0000 0000
0485 0486 0487 0000 0420 0421 0422 0423 0424 0425 0426 0427 0428 0429 042A 042B 042C 042D 042E 042F 0430 0431 0432 0433 0434 0435 0436 0437 0438 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0448 0000 0000 0449 044A 044B 044C 044D 044E 044F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0450 0451 0452 0000 0000 0000 0000 0000 0000 0453 0454 0455
0468 0000 0000 0469 046A 046B 046C 046D 046E 046F 0000 0000 0000 0456 0000 0000 0000 0000 0000 0000 0470 0471 0472 0000 0000 0000 0000 0000 0000 0473 0474 0475
