ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-065.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 640
UNIQUE_PIXEL_TILES: 127
CONNECTED_OBJECT_GROUPS: 28

0020 0000 0000 0000 0000 0000 0000 0000 0000 0028 0029 002A 0000 0000 0000 0000 0000 0000 002B 002C 002D 0000 0000 002E 002F 0030 0031 0000 0000 0000 0032 0033
0140 0141 0142 0143 0144 0000 0000 0000 0000 0000 0000 0000 0000 010B 010C 010D 010E 010F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0160 0161 0162 0163 0164 0165 0166 0167 0000 00D3 00D4 00D5 0000 012B 012C 012D 012E 012F 0000 0000 0000 0000 0000 0000 0000 0000 00D9 00DA 00DB 0000 00DC 00DD
0180 0181 0182 0183 0184 0185 0186 0187 0000 00F3 00F4 00F5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F9 00FA 00FB 0000 00FC 00FD
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0116 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0136 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A4 01A5 01A6 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0156 0000 0000 0000 01A7 0000 0000 0000 0000 0000 01C4 01C5 01C6 0000 0000 0000 0000 0000 0000 0000
01A8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0175 0176 0177 0178 0000 0000 0000 0000 01E1 01E2 01E3 01E4 0000 0000 0000 0000 0000 0000 0000 01A9 01AA
01C8 0000 0000 0000 0000 01AB 01AC 01AD 0000 0000 0000 0195 0196 0197 0000 0000 0000 0000 0200 0201 0202 0203 0204 0000 0000 0000 0000 0000 0000 0000 01C9 01CA
01E8 0000 0000 0000 0000 01CB 01CC 01CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0220 0221 0222 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E9 01EA
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 01B1 01B2 01B3 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B4 01B5 01B6 01B7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01CE 01CF 01D0 01D1 01D2 01D3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01EE 01EF 01F0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B8 01B9 01BA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D8 01D9 01DA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01BB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01BE 01BF
01DB 01DC 01DD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01DE 01DF
01FB 01FC 01FD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0240 0241 0242 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01FE 01FF
021B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0260 0261 0262 0000 0000 0000 0000 0000 0000 0000 0000 0243 0244 0245 0000 0000 0000 021E 021F
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0263 0264 0265 0000 0000 0000 0000 0000
0246 0247 0248 0000 0000 0000 0000 0000 0249 024A 024B 024C 024D 0000 0000 024F 0250 0251 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0266 0267 0268 0000 0000 0000 0000 0000 0269 026A 026B 026C 026D 0000 026E 026F 0270 0271 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
