ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-069.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 2080
UNIQUE_PIXEL_TILES: 214
CONNECTED_OBJECT_GROUPS: 19

0020 0021 0022 0023 0024 0000 0000 002F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 042E 042F 0430 0431 0432 0433 0434 0435 0436 0437
0200 0201 0202 0000 0000 0000 0000 0000 0000 0000 0000 0000 020C 020D 020E 0000 0623 0624 0625 0626 0627 0000 0000 0000 0610 0611 0612 0613 0000 0000 0000 0000
0220 0221 0222 0223 0224 0225 0226 0227 0228 0229 022A 022B 022C 022D 022E 0000 0643 0000 0645 0000 0647 0648 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0240 0241 0242 0000 0244 0245 0246 0000 0000 0000 024A 024B 024C 0000 024E 0000 0663 0000 0665 0000 0667 0668 0669 0000 0000 0000 0000 0000 0000 0000 0000 0000
0260 0261 0262 0000 0000 0000 0000 0000 0000 0000 026A 026B 026C 0000 026E 0000 0683 0000 0685 0000 0687 0688 0689 0000 0000 0000 0000 0000 0000 0000 0000 0000
0280 0281 0282 0000 0000 0000 0286 0287 0288 0289 028A 028B 028C 0000 028E 0000 06A3 0000 06A5 0000 06A7 06A8 06A9 0000 0000 0000 062C 062D 062E 0000 0000 0000
02A0 02A1 02A2 0000 0000 0000 02A6 02A7 02A8 02A9 02AA 02AB 02AC 0000 02AE 0000 06C3 0000 06C5 0000 06C7 06C8 06C9 0000 0000 0000 064C 064D 064E 0000 0000 0000
02C0 02C1 02C2 0000 0000 0000 02C6 02C7 0000 0000 02CA 02CB 02CC 0000 02CE 0000 06E3 0000 06E5 0000 06E7 06E8 06E9 0000 0000 0000 066C 066D 066E 0000 0000 0000
02E0 02E1 02E2 0000 02E4 02E5 02E6 02E7 02E8 0000 02EA 02EB 02EC 0000 02EE 0000 0703 0000 0705 0000 0707 0708 0709 0000 0000 0000 0000 0000 0000 0000 0000 0000
0300 0301 0302 0000 0304 0305 0306 0000 0000 0000 030A 030B 030C 0000 030E 0000 0723 0000 0725 0000 0727 0728 0729 0000 0000 0000 0000 0000 0000 0000 0000 0000
0320 0321 0322 0000 0324 0325 0326 0000 0000 0000 032A 032B 032C 0000 032E 0000 0743 0000 0745 0000 0747 0748 0749 074A 074B 0000 0000 0000 0000 0000 0000 0000
0340 0341 0342 0000 0344 0345 0346 0000 0000 0000 034A 034B 034C 0000 034E 0000 0763 0000 0765 0000 0767 0768 0769 076A 076B 0000 0000 0000 0000 0000 062F 0630
0360 0361 0362 0000 0000 0000 0000 0000 0000 0000 036A 036B 036C 0000 036E 0000 0783 0000 0785 0000 0787 0788 0789 078A 078B 0000 0000 0000 0000 0000 064F 0650
0380 0381 0382 0000 0631 0632 0633 0000 0000 0000 038A 038B 038C 0000 038E 0000 07A3 0000 07A5 0000 07A7 07A8 07A9 0000 0000 0000 0000 0000 0000 0000 066F 0670
03A0 03A1 03A2 0000 0651 0652 0653 0000 0000 0000 0000 0000 03AC 0000 0000 0000 0000 0000 0000 0000 07C7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
03C0 03C1 03C2 0000 0000 0000 0000 0000 0000 0000 0634 0000 0000 0000 0635 0000 0000 0000 0000 0000 0000 0000 0636 0000 0000 0000 0000 0000 063B 063C 0000 0000
03E0 03E1 03E2 0000 0000 07E1 07E2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0658 0659 065A 065B 065C 0000 065E
0400 0401 0402 0000 0800 0801 0802 0000 0000 0000 07E3 0000 0000 0000 0000 0000 07E4 0000 0000 0000 0000 0000 07E5 0000 0677 0678 0679 0000 0000 0000 067D 067E
