ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-020.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1312
UNIQUE_PIXEL_TILES: 248
CONNECTED_OBJECT_GROUPS: 28

0020 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 002C 002D 002E 002F 0030 0031 0000 0000 0000 0000 0033 0034 0035 0036 0037 0038 0000 0000 003B 003C
01E4 01E5 01E6 01E7 01E8 01E9 01EA 0000 0000 0000 0000 0000 0000 0000 0000 0159 015A 015B 015C 015D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0240 0241 0242
0000 0205 0206 0207 0208 0209 020A 0000 0000 0244 0245 0246 0000 0000 0178 0000 017A 0000 0000 0000 0000 0000 0000 024A 024B 024C 0000 0000 0000 0260 0261 0262
0000 0000 0000 0000 0228 0229 022A 0000 0263 0264 0265 0266 0267 0000 0000 0000 019A 0000 0000 0000 0000 0000 0000 026A 026B 026C 026D 026E 0000 0000 0000 0000
024F 0000 0000 0000 0000 0000 0000 0000 0283 0284 0285 0286 0287 0288 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 028C 028D 028E 0000 0000 0255 0256
026F 0000 0000 0000 0000 0000 0000 0000 02A3 02A4 02A5 02A6 02A7 02A8 02A9 0000 0000 0257 0258 0259 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0275 0276
028F 0290 0291 0000 0000 0000 0000 0000 02C3 02C4 02C5 02C6 02C7 02C8 02C9 0000 0000 0277 0278 0279 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0295 0296
02AF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02B5 02B6
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02D2 02D3 02D4 0000 0000
0000 0000 0340 0341 0342 0343 0344 0000 0000 0000 0000 0000 034B 034C 034D 0000 0000 0000 0000 0000 0000 034E 034F 0350 0000 0000 0000 02F2 02F3 02F4 0000 0000
0000 0000 0360 0361 0362 0363 0364 0000 0000 0000 0000 0000 036B 036C 036D 0000 0000 0000 0000 0000 0000 036E 036F 0370 0371 0372 0000 0312 0313 0314 0000 0000
0000 0000 0000 0000 0382 0383 0384 0000 0000 0000 0000 0000 038B 038C 038D 0000 0000 0000 0000 0000 0000 0000 0000 0390 0391 0392 0000 0332 0333 0334 0000 0000
0353 0354 0355 0000 03A2 03A3 03A4 0000 0000 0000 0000 0000 03AB 03AC 03AD 0000 0000 0000 0356 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0373 0374 0375 0000 0000 0000 0000 03C5 03C6 03C7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0357 0000 0000 0000 0358 0359 035A
0000 0000 0000 0000 0000 0000 0000 03E5 03E6 03E7 03E8 03E9 0000 0000 0000 0000 0000 0000 0463 0464 0465 0000 0000 0000 0000 0377 0000 0000 0000 0378 0379 037A
0000 0000 0000 0000 0000 0000 0000 0000 0000 0407 0408 0409 040A 0000 0000 0000 0000 0000 0483 0484 0485 0000 0000 0000 0000 0397 0000 0000 0000 0398 0399 039A
0000 0000 0469 0000 0000 0000 0424 0425 0426 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04A4 04A5 04A6 0000 0000 0000 0000 0000 0000 0000 03B8 03B9 03BA
0000 0000 0489 0000 0000 0000 0444 0445 0446 0447 0448 0000 0000 0000 0000 0000 0000 0000 0000 04C4 04C5 04C6 04C7 04C8 0000 0000 0000 0000 0000 0000 0000 0000
046C 0000 04A9 04AA 04AB 0000 0000 0000 0000 0000 0000 0000 0000 046D 0000 0000 04E1 04E2 04E3 0000 0000 0000 0000 0000 0000 046E 046F 0470 0000 0000 0471 0472
048C 0000 04C9 04CA 04CB 0000 0000 0000 0000 0000 0000 0000 0000 048D 0000 0500 0501 0502 0503 0000 0000 0000 0000 0000 0000 048E 048F 0490 0000 0000 0491 0492
