ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-01.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 704
UNIQUE_PIXEL_TILES: 88
CONNECTED_OBJECT_GROUPS: 31

0000 0020 0021 0022 0000 0024 0025 0026 0027 0028 0029 0000 002B 002C 0000 0000 0000 0000 002F 0030 0031 0000 0000 0000 0000 0000 0034 0035 0036 0000 0000 0000
0115 0116 0117 0118 0119 0000 0000 011A 011B 011C 0000 0140 0141 0142 0143 0144 0000 0000 0145 0146 0147 0000 0148 0149 014A 014B 014C 0000 014D 014E 014F 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0130 0131 0132 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0133 0134 0000 0000 0000 0150 0151 0152 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0138 0139 013A 0000 0000 0000 0000 0000 0000 0000 013B
0153 0154 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0158 0159 015A 0000 0000 013C 013D 013E 0000 0000 015B
0000 0000 0000 0000 0000 0000 0000 0000 01C0 01C1 01C2 01C3 01C4 01C5 0000 0000 0000 0000 0175 0176 0177 0000 0000 0000 0000 0000 015C 015D 015E 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 01E0 01E1 01E2 01E3 01E4 01E5 0000 0000 0000 0000 0195 0196 0197 0198 0199 0000 0000 0000 0000 0000 0000 0000 0000 0000
01C7 01C8 01C9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0204 0205 0206 0000 0000 0000 0000 0000 01B7 01B8 01B9 0000 0000 0000 01CA 01CB 01CC 0000 0000 0000
01E7 01E8 01E9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0224 0225 0226 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01EA 01EB 01EC 0000 0000 0000
0207 0208 0209 0000 0000 0000 0000 01CD 01CE 01CF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0227 0228 0229 0000 0000 0000 0000 01ED 01EE 01EF 0000 0000 0000 01D3 01D4 01D5 0000 0000 0000 0000 0000 0000 0000 0000 0245 0246 0247 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01F3 01F4 01F5 0000 0000 0000 0000 0000 0000 0000 0000 0265 0266 0267 0000 0000 0000 0000 0000
024D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0210 0211 0212 0000 0000 0000 0000 0000 0000 0280 0281 0282 0283 0284 0285 0286 0000 0288 0289 028A 028B 028C
026D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0230 0231 0232 0000 0000 0000 0000 0000 0000 02A0 02A1 02A2 02A3 02A4 02A5 02A6 0000 02A8 02A9 02AA 02AB 02AC
