ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-041.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 640
UNIQUE_PIXEL_TILES: 154
CONNECTED_OBJECT_GROUPS: 27

0000 0020 0021 0022 0000 0000 0000 0025 0026 0027 0000 0000 0000 0000 0000 0000 0000 002C 002D 002E 0000 0000 0000 0000 0030 0031 0032 0033 0034 0000 0000 0000
01B1 01B2 01B3 0000 0000 0000 01B4 01B5 01B6 0000 0000 01B7 01B8 01B9 01BA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
019B 019C 019D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01BB 01BC 01BD 0000 0000 0000 0000 0221 0222 0000 0000 0000 0223 0224 0225 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 01DC 01DD 01DE 0000 0000 0240 0241 0242 0000 0000 0000 0243 0244 0245 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 022D 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0247 0248 0000 0000 0000 024C 024D 024E 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0266 0267 0268 0269 026A 026B 0000 0000 0000 0000 0000 0000 0000
