ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-028.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 704
UNIQUE_PIXEL_TILES: 143
CONNECTED_OBJECT_GROUPS: 26

0000 0000 0000 0020 0021 0022 0023 0024 0025 0000 0026 0027 0028 0029 002A 0000 002B 002C 002D 002E 002F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01C4 01C5 01C6 0000 0000 0000 0000 016B 016C 016D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C9 01CA
0000 0000 01E6 01E7 01E8 0000 0000 018B 018C 018D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0206 0207 0208 0000 0000 0000 0000 0000 0000 0000 0000 0000 016E 016F 0170 0000 0000 0000 0000 0000 0000 0000 0000 0000 0171 0172 0173 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 018E 018F 0190 0000 0000 0000 0000 0000 0000 0000 0000 0000 0191 0192 0193 0000 0000 0000
0174 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0175 0176
0194 0000 0177 0178 0179 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0195 0196
0000 0000 0197 0198 0199 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0226 0227 0228 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0246 0247 0248 0249 024A 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 022E 022F 0230 0000 0000 0000 0000 0000 0000 0000 0260 0261 0262 0263 0264 0265 0000 0000 0268 0269 026A 0000 0000 0000 0000 0000 0231 0232 0233
0000 0000 0000 024E 024F 0250 0000 0000 0000 0000 0000 0000 0000 0280 0281 0282 0283 0284 0285 0000 0000 0288 0289 028A 0000 028C 028D 0000 0000 0251 0252 0253
0000 0000 0000 0000 0000 0000 0000 0235 0236 0237 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02A8 02A9 02AA 02AB 02AC 02AD 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0254 0255 0256 0257 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
