ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-09.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1440
UNIQUE_PIXEL_TILES: 97
CONNECTED_OBJECT_GROUPS: 29

0000 0021 0022 0023 0024 0025 0000 0000 0000 0000 0000 0026 0027 0028 0029 0000 002B 002C 002D 002E 0000 0000 0000 002F 0030 0031 0032 0033 0034 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E1 03E2 03E3 03E4 03E5 03E6 03E7 03E8 0000 0000 029D 029E 029F 0000 0000 0000 0000 0000 0443 0444 0445
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0401 0402 0403 0000 0000 0000 0000 0000 0000 0000 02BD 02BE 02BF 0000 0000 0000 0000 0462 0463 0464 0465
0000 0000 0000 0000 0000 0000 0446 0447 0448 0000 0000 0421 0422 0423 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0481 0482 0483 0000 0000
0000 0000 0000 0000 0000 0000 0466 0467 0468 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04A1 04A2 04A3 0000 0000
0000 044A 044B 044C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04C1 04C2 04C3 0000 0000
0469 046A 046B 046C 0000 0000 0000 0000 044D 044E 044F 0000 0000 0000 0450 0451 0452 0000 0000 0000 0000 0000 0000 0000 0000 0000 04E0 04E1 04E2 0000 04E4 04E5
0489 0000 0000 0000 0000 0000 0000 0000 046D 046E 046F 0000 0000 0000 0470 0471 0472 0000 0000 0000 0000 0457 0458 0459 0000 0000 0500 0501 0502 0000 0504 0505
04A9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0477 0478 0479 0000 0000 0000 0000 0000 0000 0524 0525
04C9 0000 0000 0000 0560 0561 0562 0563 0564 0000 0000 0000 0565 0566 0567 0000 0000 0493 0494 0495 0496 0497 0000 0000 049A 049B 0000 0000 0000 0000 0544 0545
0000 0000 0000 0000 0580 0581 0582 0583 0584 0000 0000 0000 0585 0586 0587 0000 0000 04B3 04B4 04B5 04B6 04B7 0000 04B9 04BA 04BB 0000 0000 0000 0000 0000 0000
