ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-010.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1024
UNIQUE_PIXEL_TILES: 196
CONNECTED_OBJECT_GROUPS: 19

0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0028 0029 002A 002B 002C 002D 002E 002F 0030 0031 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0210 0000 0000 0000 0224 0225 0226 0227 0228 0229 022A 0000 0000 0000 0000 0000 0000 0000 0000 0211 0212 0213 0000 0000 0000 0000 0000 0000 0000 0000 01D9 01DA
0230 0000 0000 0000 0244 0245 0246 0247 0248 0249 024A 024B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01F9 01FA
0000 0000 0000 0000 0000 0000 0000 0267 0268 0269 026A 026B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0280 0281 0282 0000 0000 0285 0286 0287 0288 0289 028A 028B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
02A0 02A1 02A2 02A3 0000 02A5 02A6 02A7 02A8 02A9 02AA 02AB 02AC 02AD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
02C0 02C1 02C2 0000 0000 02C5 02C6 02C7 02C8 02C9 02CA 02CB 02CC 02CD 0000 0000 0000 0000 0000 0214 0215 0216 0000 0000 0000 0000 0000 0217 0218 0219 0000 0000
02E0 02E1 02E2 0000 0000 02E5 02E6 02E7 02E8 02E9 02EA 02EB 0000 0000 0000 021A 021B 021C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0300 0301 0302 0303 0304 0000 0000 0307 0308 0309 030A 030B 030C 030D 0000 023A 023B 023C 0000 0000 0000 021D 021E 021F 0000 0000 0000 0000 0000 0000 0000 0000
0320 0321 0322 0323 0324 0000 0000 0000 0000 0329 032A 032B 032C 032D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0340 0341 0342 0000 0000 0000 0000 0000 0348 0349 034A 034B 0000 034D 034E 034F 0000 0000 0000 0000 03C0 03C1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0360 0361 0362 0000 0000 0000 0000 0000 0368 0369 036A 0000 036C 036D 036E 036F 0000 0000 0000 0000 03E0 03E1 03E2 0000 0000 0000 0000 0000 0000 0000 0000 0000
0380 0381 0382 0383 0384 0385 0386 0000 0388 0389 0000 0000 038C 038D 038E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03C3 03C4
03A0 03A1 03A2 03A3 03A4 03A5 03A6 0000 03A8 03A9 03AA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E3 03E4
