ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-078.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 704
UNIQUE_PIXEL_TILES: 123
CONNECTED_OBJECT_GROUPS: 30

0000 0021 0022 0023 0024 0025 0000 0026 0027 0028 0029 0000 0000 0000 0000 0000 0000 0000 002B 002C 002D 002E 0000 0000 0030 0031 0032 0033 0034 0035 0036 0037
0000 0000 0000 0000 0000 00F3 00F4 00F5 0000 0000 0000 0000 0000 0000 0129 012A 012B 0000 0000 0000 0000 0130 0131 0132 0000 0000 0000 0000 00D6 00D7 00D8 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F6 00F7 00F8 00F9
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00DA 00DB 00DC 0000 0140 0141 0142 0143 0144 0145 0000 0000 0000 0000 0000 0000 0000 0117 0118 0119
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00FA 00FB 00FC 0000 0160 0161 0162 0163 0164 0165 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0185 0186 0187 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0148 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0149 014A 014B 0000 0000 0000 0000 0000 0000 014C 014D 014E 0000 0000 0000 0000 014F 0150
0168 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0169 016A 016B 0000 0000 0000 0000 0000 0000 016C 016D 016E 0000 0000 0000 0000 016F 0170
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0151 0152 0153 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0158 0159 015A 015B 0000 0000 0000 0000 0000 0000 0000 0000 015C 015D 015E 0000
0000 0000 0000 0000 0000 0000 0000 0260 0261 0262 0000 0000 0000 0000 0000 0000 0000 0179 017A 017B 0000 0000 0000 0000 0000 0000 0000 0000 017C 017D 017E 0000
0000 0000 0000 0000 0000 0000 0000 0280 0281 0282 0000 0000 0000 0000 0000 0197 0198 0199 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0263 0264 0265 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B7 01B8 01B9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0266 0267 0268 0000 0000
0283 0284 0285 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D5 01D6 01D7 01D8 01D9 01DA 0000 0000 0000 0000 0269 0000 0000 0000 0286 0287 0288 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 026A 0000 0000 01F4 01F5 01F6 01F7 01F8 01F9 01FA 01FB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 026B 026C 026D 0000 0000 0000 0000 0214 0215 0216 0000 0000 0219 021A 021B 0000 0000 0000 0000 0000 0000 0000 0000 0000 026E 026F 0270
0000 0000 0000 0000 0000 028B 028C 028D 0000 0000 0000 0000 0000 0000 0000 0000 0238 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0258 0259 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0273 0274 0275 0000 0000
0000 0000 0000 0000 0000 0000 0278 0279 027A 027B 027C 0000 0000 0000 0000 0000 0000 0000 0000 027D 027E 027F 0000 0000 0000 0291 0292 0293 0294 0295 0296 0000
0000 0000 0000 0000 0000 0000 0298 0299 029A 029B 029C 0000 0000 0000 0000 0000 0000 0000 0000 029D 029E 029F 0000 0000 0000 02B1 02B2 02B3 0000 02B5 02B6 02B7
