ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-026.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 832
UNIQUE_PIXEL_TILES: 133
CONNECTED_OBJECT_GROUPS: 19

0000 0000 0020 0000 0022 0000 0000 0024 0025 0026 0000 0027 0028 0029 002A 002B 0000 002C 002D 002E 002F 0000 0031 0032 0033 0034 0035 0000 0036 0037 0038 0039
0180 0181 0182 0183 0184 0185 0186 0187 0188 0189 018A 018B 018C 018D 018E 018F 0190 0191 0192 0193 0194 0195 0196 0197 0198 0199 019A 019B 019C 019D 019E 019F
01A0 0000 01A2 01A3 01A4 0000 01A6 0000 0000 01A9 01AA 01AB 0000 0000 0000 0000 0000 0000 0000 01B3 01B4 01B5 0000 0000 0000 0000 0000 01BB 0000 0000 01BE 01BF
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 01C2 01C3 01C4 01C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C7 01C8 01C9 0000
0000 0000 0000 01E2 01E3 01E4 01E5 01E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E7 01E8 01E9 0000
0000 0200 0201 0202 0000 0204 0205 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0220 0221 0222 0000 0224 0225 0226 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0244 0245 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0264 0265 0266 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01CA 01CB 0000 0000 0000 0284 0285 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01CC
01EA 01EB 0000 0000 0000 02A4 02A5 02A6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01EC
0000 0000 0000 0000 0000 02C4 02C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 02E4 02E5 02E6 0000 0000 0000 0000 0000 0000 0000 0000 01CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01CF 01D0 01D1 0000 0000 0304 0305 0000 0000 0000 0000 0000 0000 0000 0000 0000 01ED 01EE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01EF 01F0 01F1 0000 0000 0324 0325 0326 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
