ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-008.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 544
UNIQUE_PIXEL_TILES: 90
CONNECTED_OBJECT_GROUPS: 25

0020 0021 0022 0000 0000 0000 0000 0000 0023 0024 0025 0026 0027 0028 0029 002A 002B 002C 0000 0000 0000 002D 002E 002F 0000 0000 0000 0000 0000 0000 0030 0000
00BB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0145 0146
0000 0000 0000 0000 0000 0000 012D 012E 012F 0000 0000 0000 0000 0000 0000 0000 0000 0130 0131 0132 0000 0000 0000 0000 0000 0000 0000 0000 0163 0164 0165 0000
0000 0000 0000 0000 0000 0000 014D 014E 014F 0000 0000 0000 0000 0000 0000 0000 0000 0150 0151 0152 0000 0000 0000 0000 0000 0180 0181 0182 0183 0184 0185 0000
0000 0000 0000 016A 016B 016C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A0 01A1 01A2 0000 0000 0000 0000
0187 0000 0000 018A 018B 018C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0133 0134
01A7 01A8 01A9 01AA 01AB 01AC 0000 0000 0000 0000 0000 0135 0136 0137 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0153 0154
01C7 01C8 01C9 01CA 01CB 01CC 0000 0000 0000 0000 0000 0155 0156 0157 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 01EB 01EC 01ED 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 020B 020C 020D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0138 0139 013A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 013B 013C
0158 0159 015A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 015B 015C
