index,bank,raw,intensity,red,green,blue
62,alpha,0x30f0,3,0,15,0
63,alpha,0x30f0,3,0,15,0
64,alpha,0x0000,0,0,0,0
65,alpha,0x0000,0,0,0,0
66,alpha,0x0000,0,0,0,0
67,alpha,0x0000,0,0,0,0
68,alpha,0x0000,0,0,0,0
69,alpha,0x0000,0,0,0,0
70,alpha,0x0000,0,0,0,0
71,alpha,0x0000,0,0,0,0
72,alpha,0x0000,0,0,0,0
73,alpha,0x0000,0,0,0,0
74,alpha,0x0000,0,0,0,0
75,alpha,0x0000,0,0,0,0
76,alpha,0x0000,0,0,0,0
77,alpha,0x0000,0,0,0,0
78,alpha,0x0000,0,0,0,0
79,alpha,0x0000,0,0,0,0
80,alpha,0x0000,0,0,0,0
81,alpha,0x0000,0,0,0,0
82,alpha,0x0000,0,0,0,0
83,alpha,0x0000,0,0,0,0
84,alpha,0x0000,0,0,0,0
85,alpha,0x0000,0,0,0,0
86,alpha,0x0000,0,0,0,0
87,alpha,0x0000,0,0,0,0
88,alpha,0x0000,0,0,0,0
89,alpha,0x0000,0,0,0,0
90,alpha,0x0000,0,0,0,0
91,alpha,0x0000,0,0,0,0
92,alpha,0x0000,0,0,0,0
93,alpha,0x0000,0,0,0,0
94,alpha,0x0000,0,0,0,0
95,alpha,0x0000,0,0,0,0
96,alpha,0x0000,0,0,0,0
97,alpha,0x0000,0,0,0,0
98,alpha,0x0000,0,0,0,0
99,alpha,0x0000,0,0,0,0
100,alpha,0x0000,0,0,0,0
101,alpha,0x0000,0,0,0,0
102,alpha,0x0000,0,0,0,0
103,alpha,0x0000,0,0,0,0
104,alpha,0x0000,0,0,0,0
105,alpha,0x0000,0,0,0,0
106,alpha,0x0000,0,0,0,0
107,alpha,0x0000,0,0,0,0
108,alpha,0x0000,0,0,0,0
109,alpha,0x0000,0,0,0,0
110,alpha,0x0000,0,0,0,0
111,alpha,0x0000,0,0,0,0
112,alpha,0x0000,0,0,0,0
113,alpha,0x0000,0,0,0,0
114,alpha,0x0000,0,0,0,0
115,alpha,0x0000,0,0,0,0
116,alpha,0x0000,0,0,0,0
117,alpha,0x0000,0,0,0,0
118,alpha,0x0000,0,0,0,0
119,alpha,0x0000,0,0,0,0
120,alpha,0x0000,0,0,0,0
121,alpha,0x0000,0,0,0,0
122,alpha,0x0000,0,0,0,0
123,alpha,0x0000,0,0,0,0
124,alpha,0x0000,0,0,0,0
125,alpha,0x0000,0,0,0,0
126,alpha,0x0000,0,0,0,0
127,alpha,0x0000,0,0,0,0
128,alpha,0x3f00,3,15,0,0
129,alpha,0xffff,15,15,15,15
130,alpha,0xdfff,13,15,15,15
131,alpha,0xafff,10,15,15,15
132,alpha,0x300f,3,0,0,15
133,alpha,0xffff,15,15,15,15
134,alpha,0xdfff,13,15,15,15
135,alpha,0xafff,10,15,15,15
136,alpha,0x2ff0,2,15,15,0
137,alpha,0xffff,15,15,15,15
138,alpha,0xdfff,13,15,15,15
139,alpha,0xafff,10,15,15,15
140,alpha,0x30f0,3,0,15,0
141,alpha,0xffff,15,15,15,15
142,alpha,0xdfff,13,15,15,15
143,alpha,0xafff,10,15,15,15
144,alpha,0x3f00,3,15,0,0
145,alpha,0x2f00,2,15,0,0
146,alpha,0x7f00,7,15,0,0
147,alpha,0xff00,15,15,0,0
148,alpha,0x300f,3,0,0,15
149,alpha,0x208f,2,0,8,15
150,alpha,0x708f,7,0,8,15
151,alpha,0xf08f,15,0,8,15
152,alpha,0x2ff0,2,15,15,0
153,alpha,0x2ff0,2,15,15,0
154,alpha,0x7ff0,7,15,15,0
155,alpha,0xfff0,15,15,15,0
156,alpha,0x30f0,3,0,15,0
157,alpha,0x20f0,2,0,15,0
158,alpha,0x70f0,7,0,15,0
159,alpha,0xf0f0,15,0,15,0
160,alpha,0x3f00,3,15,0,0
161,alpha,0xffa0,15,15,10,0
162,alpha,0xf08e,15,0,8,14
163,alpha,0xf00c,15,0,0,12
164,alpha,0x300f,3,0,0,15
165,alpha,0xffa0,15,15,10,0
166,alpha,0xf08e,15,0,8,14
167,alpha,0xf00c,15,0,0,12
168,alpha,0x2ff0,2,15,15,0
169,alpha,0xffa0,15,15,10,0
170,alpha,0xf08e,15,0,8,14
171,alpha,0xf00c,15,0,0,12
172,alpha,0x30f0,3,0,15,0
173,alpha,0xffa0,15,15,10,0
174,alpha,0xf08e,15,0,8,14
175,alpha,0xf00c,15,0,0,12
176,alpha,0x3f00,3,15,0,0
177,alpha,0xf226,15,2,2,6
178,alpha,0xf33d,15,3,3,13
179,alpha,0xf66f,15,6,6,15
180,alpha,0x300f,3,0,0,15
181,alpha,0xf226,15,2,2,6
182,alpha,0xf33d,15,3,3,13
183,alpha,0xf66f,15,6,6,15
184,alpha,0x2ff0,2,15,15,0
185,alpha,0xf226,15,2,2,6
186,alpha,0xf33d,15,3,3,13
187,alpha,0xf66f,15,6,6,15
188,alpha,0x30f0,3,0,15,0
189,alpha,0xf226,15,2,2,6
190,alpha,0xf33d,15,3,3,13
191,alpha,0xf66f,15,6,6,15
192,alpha,0x0000,0,0,0,0
193,alpha,0x0000,0,0,0,0
194,alpha,0x0000,0,0,0,0
195,alpha,0x0000,0,0,0,0
196,alpha,0x0000,0,0,0,0
197,alpha,0x0000,0,0,0,0
198,alpha,0x0000,0,0,0,0
199,alpha,0x0000,0,0,0,0
200,alpha,0x0000,0,0,0,0
201,alpha,0x0000,0,0,0,0
202,alpha,0x0000,0,0,0,0
203,alpha,0x0000,0,0,0,0
204,alpha,0x0000,0,0,0,0
205,alpha,0x0000,0,0,0,0
206,alpha,0x0000,0,0,0,0
207,alpha,0x0000,0,0,0,0
208,alpha,0x0000,0,0,0,0
209,alpha,0x0000,0,0,0,0
210,alpha,0x0000,0,0,0,0
211,alpha,0x0000,0,0,0,0
212,alpha,0x0000,0,0,0,0
213,alpha,0x0000,0,0,0,0
214,alpha,0x0000,0,0,0,0
215,alpha,0x0000,0,0,0,0
216,alpha,0x0000,0,0,0,0
217,alpha,0x0000,0,0,0,0
218,alpha,0x0000,0,0,0,0
219,alpha,0x0000,0,0,0,0
220,alpha,0x0000,0,0,0,0
221,alpha,0x0000,0,0,0,0
222,alpha,0x0000,0,0,0,0
223,alpha,0x0000,0,0,0,0
224,alpha,0x0000,0,0,0,0
225,alpha,0x0000,0,0,0,0
226,alpha,0x0000,0,0,0,0
227,alpha,0x0000,0,0,0,0
228,alpha,0x0000,0,0,0,0
229,alpha,0x0000,0,0,0,0
230,alpha,0x0000,0,0,0,0
231,alpha,0x0000,0,0,0,0
232,alpha,0x0000,0,0,0,0
233,alpha,0x0000,0,0,0,0
234,alpha,0x0000,0,0,0,0
235,alpha,0x0000,0,0,0,0
236,alpha,0x0000,0,0,0,0
237,alpha,0x0000,0,0,0,0
238,alpha,0x0000,0,0,0,0
239,alpha,0x0000,0,0,0,0
240,alpha,0x0000,0,0,0,0
241,alpha,0x0000,0,0,0,0
242,alpha,0x0000,0,0,0,0
243,alpha,0x0000,0,0,0,0
244,alpha,0x0000,0,0,0,0
245,alpha,0x0000,0,0,0,0
246,alpha,0x0000,0,0,0,0
247,alpha,0x0000,0,0,0,0
248,alpha,0x0000,0,0,0,0
249,alpha,0x0000,0,0,0,0
250,alpha,0x0000,0,0,0,0
251,alpha,0x0000,0,0,0,0
252,alpha,0x0000,0,0,0,0
253,alpha,0x0000,0,0,0,0
254,alpha,0x0000,0,0,0,0
255,alpha,0x0000,0,0,0,0
256,motion_object,0x0000,0,0,0,0
257,motion_object,0x0000,0,0,0,0
258,motion_object,0x988f,9,8,8,15
259,motion_object,0xa99f,10,9,9,15
260,motion_object,0xc99f,12,9,9,15
261,motion_object,0xfbbf,15,11,11,15
262,motion_object,0xa888,10,8,8,8
263,motion_object,0x0000,0,0,0,0
264,motion_object,0x9999,9,9,9,9
265,motion_object,0x7f8f,7,15,8,15
266,motion_object,0x711f,7,1,1,15
267,motion_object,0x5f93,5,15,9,3
268,motion_object,0x6f84,6,15,8,4
269,motion_object,0xef86,14,15,8,6
270,motion_object,0xf0f0,15,0,15,0
271,motion_object,0xffbb,15,15,11,11
272,motion_object,0x0000,0,0,0,0
273,motion_object,0x0000,0,0,0,0
274,motion_object,0x7f84,7,15,8,4
275,motion_object,0x8f85,8,15,8,5
276,motion_object,0xaf83,10,15,8,3
277,motion_object,0x40f7,4,0,15,7
278,motion_object,0xff20,15,15,2,0
279,motion_object,0xff82,15,15,8,2
280,motion_object,0xffc0,15,15,12,0
281,motion_object,0xffff,15,15,15,15
282,motion_object,0x5f50,5,15,5,0
283,motion_object,0x81f8,8,1,15,8
284,motion_object,0xef88,14,15,8,8
285,motion_object,0xd79f,13,7,9,15
286,motion_object,0xa17f,10,1,7,15
287,motion_object,0xa00f,10,0,0,15
288,motion_object,0x0000,0,0,0,0
289,motion_object,0x0000,0,0,0,0
290,motion_object,0x0000,0,0,0,0
291,motion_object,0x7165,7,1,6,5
292,motion_object,0x7387,7,3,8,7
293,motion_object,0x7598,7,5,9,8
294,motion_object,0x76ba,7,6,11,10
295,motion_object,0x78dc,7,8,13,12
296,motion_object,0x7afe,7,10,15,14
297,motion_object,0x0000,0,0,0,0
298,motion_object,0x0000,0,0,0,0
299,motion_object,0x7e7a,7,14,7,10
300,motion_object,0x7fdf,7,15,13,15
301,motion_object,0x7fc0,7,15,12,0
302,motion_object,0x3ff0,3,15,15,0
303,motion_object,0x7f72,7,15,7,2
304,motion_object,0x0000,0,0,0,0
305,motion_object,0x0000,0,0,0,0
306,motion_object,0xffff,15,15,15,15
307,motion_object,0xa165,10,1,6,5
308,motion_object,0xa387,10,3,8,7
309,motion_object,0xa598,10,5,9,8
310,motion_object,0xa6ba,10,6,11,10
311,motion_object,0xa8dc,10,8,13,12
312,motion_object,0xaafe,10,10,15,14
313,motion_object,0x0000,0,0,0,0
314,motion_object,0xffff,15,15,15,15
315,motion_object,0xce7a,12,14,7,10
316,motion_object,0xafdf,10,15,13,15
317,motion_object,0x8fc0,8,15,12,0
318,motion_object,0x5ff0,5,15,15,0
319,motion_object,0xbf72,11,15,7,2
320,motion_object,0x0000,0,0,0,0
321,motion_object,0x0000,0,0,0,0
322,motion_object,0xff00,15,15,0,0
323,motion_object,0xf165,15,1,6,5
324,motion_object,0xf387,15,3,8,7
325,motion_object,0xf598,15,5,9,8
326,motion_object,0xf6ba,15,6,11,10
327,motion_object,0xf8dc,15,8,13,12
328,motion_object,0xfafe,15,10,15,14
329,motion_object,0x0000,0,0,0,0
330,motion_object,0xff00,15,15,0,0
331,motion_object,0xfe7a,15,14,7,10
332,motion_object,0xffdf,15,15,13,15
333,motion_object,0xcfc0,12,15,12,0
334,motion_object,0x8ff0,8,15,15,0
335,motion_object,0xff72,15,15,7,2
336,motion_object,0x0000,0,0,0,0
337,motion_object,0x0000,0,0,0,0
338,motion_object,0x6abf,6,10,11,15
339,motion_object,0x8bbf,8,11,11,15
340,motion_object,0xbaaf,11,10,10,15
341,motion_object,0xdcbf,13,12,11,15
342,motion_object,0xfddf,15,13,13,15
343,motion_object,0xffff,15,15,15,15
344,motion_object,0x5f77,5,15,7,7
345,motion_object,0x6f99,6,15,9,9
346,motion_object,0x8faa,8,15,10,10
347,motion_object,0x9fbb,9,15,11,11
348,motion_object,0xafcc,10,15,12,12
349,motion_object,0xcfdd,12,15,13,13
350,motion_object,0x5bbf,5,11,11,15
351,motion_object,0xff00,15,15,0,0
352,motion_object,0x0000,0,0,0,0
353,motion_object,0x0000,0,0,0,0
354,motion_object,0x3fc5,3,15,12,5
355,motion_object,0x5f84,5,15,8,4
356,motion_object,0x5f96,5,15,9,6
357,motion_object,0x6f86,6,15,8,6
358,motion_object,0xafc0,10,15,12,0
359,motion_object,0x6fb1,6,15,11,1
360,motion_object,0x6f9a,6,15,9,10
361,motion_object,0x6f30,6,15,3,0
362,motion_object,0x8f00,8,15,0,0
363,motion_object,0x6f55,6,15,5,5
364,motion_object,0x2f19,2,15,1,9
365,motion_object,0x4f00,4,15,0,0
366,motion_object,0x6f11,6,15,1,1
367,motion_object,0xafff,10,15,15,15
368,motion_object,0x0000,0,0,0,0
369,motion_object,0x0000,0,0,0,0
370,motion_object,0x4fc5,4,15,12,5
371,motion_object,0x7f84,7,15,8,4
372,motion_object,0x7f96,7,15,9,6
373,motion_object,0x8f86,8,15,8,6
374,motion_object,0xcfc0,12,15,12,0
375,motion_object,0x9fb1,9,15,11,1
376,motion_object,0x9f9a,9,15,9,10
377,motion_object,0x9f30,9,15,3,0
378,motion_object,0xcf00,12,15,0,0
379,motion_object,0x9f55,9,15,5,5
380,motion_object,0x3f19,3,15,1,9
381,motion_object,0x6f00,6,15,0,0
382,motion_object,0x8f11,8,15,1,1
383,motion_object,0xcfff,12,15,15,15
384,motion_object,0x0000,0,0,0,0
385,motion_object,0x0000,0,0,0,0
386,motion_object,0x5fc5,5,15,12,5
387,motion_object,0x9f84,9,15,8,4
388,motion_object,0xbf96,11,15,9,6
389,motion_object,0xdf86,13,15,8,6
390,motion_object,0xffc0,15,15,12,0
391,motion_object,0xffb1,15,15,11,1
392,motion_object,0xff9a,15,15,9,10
393,motion_object,0xff30,15,15,3,0
394,motion_object,0xff00,15,15,0,0
395,motion_object,0xff55,15,15,5,5
396,motion_object,0x4f19,4,15,1,9
397,motion_object,0x9f00,9,15,0,0
398,motion_object,0xdf11,13,15,1,1
399,motion_object,0xffff,15,15,15,15
400,motion_object,0x0000,0,0,0,0
401,motion_object,0x0000,0,0,0,0
402,motion_object,0x0000,0,0,0,0
403,motion_object,0x0000,0,0,0,0
404,motion_object,0x9f9a,9,15,9,10
405,motion_object,0xaf9a,10,15,9,10
406,motion_object,0x2909,2,9,0,9
407,motion_object,0x6a08,6,10,0,8
408,motion_object,0x9806,9,8,0,6
409,motion_object,0x8888,8,8,8,8
410,motion_object,0x9ccf,9,12,12,15
411,motion_object,0x4f33,4,15,3,3
412,motion_object,0x5f89,5,15,8,9
413,motion_object,0x7f83,7,15,8,3
414,motion_object,0xbf94,11,15,9,4
415,motion_object,0x9f11,9,15,1,1
416,motion_object,0x0000,0,0,0,0
417,motion_object,0x0000,0,0,0,0
418,motion_object,0xffff,15,15,15,15
419,motion_object,0x0000,0,0,0,0
420,motion_object,0x9f9a,9,15,9,10
421,motion_object,0xcf9a,12,15,9,10
422,motion_object,0x4909,4,9,0,9
423,motion_object,0x9a08,9,10,0,8
424,motion_object,0xc806,12,8,0,6
425,motion_object,0x8888,8,8,8,8
426,motion_object,0xaccf,10,12,12,15
427,motion_object,0x5f33,5,15,3,3
428,motion_object,0x6f89,6,15,8,9
429,motion_object,0x7f83,7,15,8,3
430,motion_object,0xbf94,11,15,9,4
431,motion_object,0xbf11,11,15,1,1
432,motion_object,0x0000,0,0,0,0
433,motion_object,0x0000,0,0,0,0
434,motion_object,0xff00,15,15,0,0
435,motion_object,0x0000,0,0,0,0
436,motion_object,0x9f9a,9,15,9,10
437,motion_object,0xef9a,14,15,9,10
438,motion_object,0x6909,6,9,0,9
439,motion_object,0xca08,12,10,0,8
440,motion_object,0xf806,15,8,0,6
441,motion_object,0x8888,8,8,8,8
442,motion_object,0xbccf,11,12,12,15
443,motion_object,0x6f33,6,15,3,3
444,motion_object,0x7f89,7,15,8,9
445,motion_object,0x7f83,7,15,8,3
446,motion_object,0xbf94,11,15,9,4
447,motion_object,0xdf11,13,15,1,1
448,motion_object,0x0000,0,0,0,0
449,motion_object,0x0000,0,0,0,0
450,motion_object,0x4f93,4,15,9,3
451,motion_object,0x9f84,9,15,8,4
452,motion_object,0xdf86,13,15,8,6
453,motion_object,0xff8a,15,15,8,10
454,motion_object,0x9fd9,9,15,13,9
455,motion_object,0xcfc8,12,15,12,8
456,motion_object,0xfff6,15,15,15,6
457,motion_object,0xdfff,13,15,15,15
458,motion_object,0xffff,15,15,15,15
459,motion_object,0x5f01,5,15,0,1
460,motion_object,0x9f00,9,15,0,0
461,motion_object,0xdf32,13,15,3,2
462,motion_object,0x6f10,6,15,1,0
463,motion_object,0x4a8f,4,10,8,15
464,motion_object,0x0000,0,0,0,0
465,motion_object,0x0000,0,0,0,0
466,motion_object,0x6f93,6,15,9,3
467,motion_object,0x222f,2,2,2,15
468,motion_object,0xdf86,13,15,8,6
469,motion_object,0xff9a,15,15,9,10
470,motion_object,0x622f,6,2,2,15
471,motion_object,0xa22f,10,2,2,15
472,motion_object,0xf22f,15,2,2,15
473,motion_object,0x8fff,8,15,15,15
474,motion_object,0xdfff,13,15,15,15
475,motion_object,0x0000,0,0,0,0
476,motion_object,0x0000,0,0,0,0
477,motion_object,0x0000,0,0,0,0
478,motion_object,0x7f43,7,15,4,3
479,motion_object,0x0000,0,0,0,0
480,motion_object,0x0000,0,0,0,0
481,motion_object,0x0000,0,0,0,0
482,motion_object,0x6f93,6,15,9,3
483,motion_object,0x7f84,7,15,8,4
484,motion_object,0xdf86,13,15,8,6
485,motion_object,0xff9a,15,15,9,10
486,motion_object,0x9fd0,9,15,13,0
487,motion_object,0xcfc0,12,15,12,0
488,motion_object,0xffd0,15,15,13,0
489,motion_object,0x8fff,8,15,15,15
490,motion_object,0xdfff,13,15,15,15
491,motion_object,0x0000,0,0,0,0
492,motion_object,0x0000,0,0,0,0
493,motion_object,0x0000,0,0,0,0
494,motion_object,0x7f43,7,15,4,3
495,motion_object,0x0000,0,0,0,0
496,motion_object,0x0000,0,0,0,0
497,motion_object,0x0000,0,0,0,0
498,motion_object,0x6f93,6,15,9,3
499,motion_object,0x21f1,2,1,15,1
500,motion_object,0xdf86,13,15,8,6
501,motion_object,0xff9a,15,15,9,10
502,motion_object,0x42f2,4,2,15,2
503,motion_object,0x82f2,8,2,15,2
504,motion_object,0xa2f2,10,2,15,2
505,motion_object,0x8fff,8,15,15,15
506,motion_object,0xdfff,13,15,15,15
507,motion_object,0x0000,0,0,0,0
508,motion_object,0x0000,0,0,0,0
509,motion_object,0x0000,0,0,0,0
510,motion_object,0x7f43,7,15,4,3
511,motion_object,0x0000,0,0,0,0
512,playfield,0x1000,1,0,0,0
513,playfield,0x0222,0,2,2,2
514,playfield,0x2444,2,4,4,4
515,playfield,0x0753,0,7,5,3
516,playfield,0x8421,8,4,2,1
517,playfield,0x4842,4,8,4,2
518,playfield,0x1000,1,0,0,0
519,playfield,0x8fff,8,15,15,15
520,playfield,0x1421,1,4,2,1
521,playfield,0x0422,0,4,2,2
522,playfield,0x2532,2,5,3,2
523,playfield,0x5532,5,5,3,2
524,playfield,0x8422,8,4,2,2
525,playfield,0x0974,0,9,7,4
526,playfield,0x7532,7,5,3,2
527,playfield,0x8643,8,6,4,3
528,playfield,0x1000,1,0,0,0
529,playfield,0x0222,0,2,2,2
530,playfield,0x2444,2,4,4,4
531,playfield,0x0753,0,7,5,3
532,playfield,0x8421,8,4,2,1
533,playfield,0x4842,4,8,4,2
534,playfield,0x1000,1,0,0,0
535,playfield,0x8fff,8,15,15,15
536,playfield,0x1421,1,4,2,1
537,playfield,0x0422,0,4,2,2
538,playfield,0x2532,2,5,3,2
539,playfield,0x5532,5,5,3,2
540,playfield,0x8422,8,4,2,2
541,playfield,0x0974,0,9,7,4
542,playfield,0x7532,7,5,3,2
543,playfield,0x8643,8,6,4,3
544,playfield,0x1000,1,0,0,0
545,playfield,0x0222,0,2,2,2
546,playfield,0x2444,2,4,4,4
547,playfield,0x0753,0,7,5,3
548,playfield,0x8421,8,4,2,1
549,playfield,0x4842,4,8,4,2
550,playfield,0x1000,1,0,0,0
551,playfield,0x8fff,8,15,15,15
552,playfield,0x1421,1,4,2,1
553,playfield,0x0422,0,4,2,2
554,playfield,0x2532,2,5,3,2
555,playfield,0x5532,5,5,3,2
556,playfield,0x8422,8,4,2,2
557,playfield,0x0974,0,9,7,4
558,playfield,0x7532,7,5,3,2
559,playfield,0x8643,8,6,4,3
560,playfield,0x1000,1,0,0,0
561,playfield,0x0222,0,2,2,2
562,playfield,0x2444,2,4,4,4
563,playfield,0x0753,0,7,5,3
564,playfield,0x8421,8,4,2,1
565,playfield,0x4842,4,8,4,2
566,playfield,0x1000,1,0,0,0
567,playfield,0x8fff,8,15,15,15
568,playfield,0x1421,1,4,2,1
569,playfield,0x0422,0,4,2,2
570,playfield,0x2532,2,5,3,2
571,playfield,0x5532,5,5,3,2
572,playfield,0x8422,8,4,2,2
573,playfield,0x0974,0,9,7,4
574,playfield,0x7532,7,5,3,2
575,playfield,0x8643,8,6,4,3
576,playfield,0x1000,1,0,0,0
577,playfield,0x1000,1,0,0,0
578,playfield,0x1fec,1,15,14,12
579,playfield,0x1f00,1,15,0,0
580,playfield,0x1f00,1,15,0,0
581,playfield,0x5f20,5,15,2,0
582,playfield,0x8f20,8,15,2,0
583,playfield,0x7fff,7,15,15,15
584,playfield,0x1f00,1,15,0,0
585,playfield,0x5f21,5,15,2,1
586,playfield,0x8f76,8,15,7,6
587,playfield,0x8f98,8,15,9,8
588,playfield,0x8fdd,8,15,13,13
589,playfield,0x8fff,8,15,15,15
590,playfield,0x1000,1,0,0,0
591,playfield,0x1000,1,0,0,0
592,playfield,0x1000,1,0,0,0
593,playfield,0x1000,1,0,0,0
594,playfield,0x103f,1,0,3,15
595,playfield,0x103f,1,0,3,15
596,playfield,0x1039,1,0,3,9
597,playfield,0x103f,1,0,3,15
598,playfield,0x103f,1,0,3,15
599,playfield,0x104f,1,0,4,15
600,playfield,0x105d,1,0,5,13
601,playfield,0x177f,1,7,7,15
602,playfield,0x15af,1,5,10,15
603,playfield,0x18ff,1,8,15,15
604,playfield,0x1000,1,0,0,0
605,playfield,0x1000,1,0,0,0
606,playfield,0x1000,1,0,0,0
607,playfield,0x1000,1,0,0,0
608,playfield,0x1000,1,0,0,0
609,playfield,0x1000,1,0,0,0
610,playfield,0x103f,1,0,3,15
611,playfield,0x103f,1,0,3,15
612,playfield,0x1039,1,0,3,9
613,playfield,0x103f,1,0,3,15
614,playfield,0x103f,1,0,3,15
615,playfield,0x004f,0,0,4,15
616,playfield,0x405d,4,0,5,13
617,playfield,0x177f,1,7,7,15
618,playfield,0x45af,4,5,10,15
619,playfield,0x48ff,4,8,15,15
620,playfield,0x1000,1,0,0,0
621,playfield,0x1000,1,0,0,0
622,playfield,0x1000,1,0,0,0
623,playfield,0x1000,1,0,0,0
624,playfield,0x1000,1,0,0,0
625,playfield,0x1000,1,0,0,0
626,playfield,0x103f,1,0,3,15
627,playfield,0x103f,1,0,3,15
628,playfield,0x1039,1,0,3,9
629,playfield,0x103f,1,0,3,15
630,playfield,0x103f,1,0,3,15
631,playfield,0x404f,4,0,4,15
632,playfield,0x805d,8,0,5,13
633,playfield,0x177f,1,7,7,15
634,playfield,0x85af,8,5,10,15
635,playfield,0x88ff,8,8,15,15
636,playfield,0x1000,1,0,0,0
637,playfield,0x1000,1,0,0,0
638,playfield,0x1000,1,0,0,0
639,playfield,0x1000,1,0,0,0
640,playfield,0x0000,0,0,0,0
641,playfield,0x7222,7,2,2,2
642,playfield,0x9444,9,4,4,4
643,playfield,0x7753,7,7,5,3
644,playfield,0xf421,15,4,2,1
645,playfield,0xb842,11,8,4,2
646,playfield,0x0000,0,0,0,0
647,playfield,0xffff,15,15,15,15
648,playfield,0x8421,8,4,2,1
649,playfield,0x7422,7,4,2,2
650,playfield,0x9532,9,5,3,2
651,playfield,0xc532,12,5,3,2
652,playfield,0xf422,15,4,2,2
653,playfield,0x7974,7,9,7,4
654,playfield,0xe532,14,5,3,2
655,playfield,0xf643,15,6,4,3
656,playfield,0x7077,7,0,7,7
657,playfield,0x7222,7,2,2,2
658,playfield,0x9444,9,4,4,4
659,playfield,0x7753,7,7,5,3
660,playfield,0xf421,15,4,2,1
661,playfield,0xb842,11,8,4,2
662,playfield,0x0000,0,0,0,0
663,playfield,0xffff,15,15,15,15
664,playfield,0x8421,8,4,2,1
665,playfield,0x7077,7,0,7,7
666,playfield,0x9532,9,5,3,2
667,playfield,0x7077,7,0,7,7
668,playfield,0xf422,15,4,2,2
669,playfield,0x7974,7,9,7,4
670,playfield,0xe532,14,5,3,2
671,playfield,0xf643,15,6,4,3
672,playfield,0xddd0,13,13,13,0
673,playfield,0x7222,7,2,2,2
674,playfield,0x9444,9,4,4,4
675,playfield,0x7753,7,7,5,3
676,playfield,0xf421,15,4,2,1
677,playfield,0xb842,11,8,4,2
678,playfield,0x0000,0,0,0,0
679,playfield,0xffff,15,15,15,15
680,playfield,0x8421,8,4,2,1
681,playfield,0xddd0,13,13,13,0
682,playfield,0x9532,9,5,3,2
683,playfield,0xddd0,13,13,13,0
684,playfield,0xf422,15,4,2,2
685,playfield,0x7974,7,9,7,4
686,playfield,0xe532,14,5,3,2
687,playfield,0xf643,15,6,4,3
688,playfield,0x0000,0,0,0,0
689,playfield,0x7222,7,2,2,2
690,playfield,0x9444,9,4,4,4
691,playfield,0x7753,7,7,5,3
692,playfield,0xf421,15,4,2,1
693,playfield,0xb842,11,8,4,2
694,playfield,0x0000,0,0,0,0
695,playfield,0xffff,15,15,15,15
696,playfield,0x8421,8,4,2,1
697,playfield,0x0000,0,0,0,0
698,playfield,0x9532,9,5,3,2
699,playfield,0x0000,0,0,0,0
700,playfield,0xf422,15,4,2,2
701,playfield,0x7974,7,9,7,4
702,playfield,0xe532,14,5,3,2
703,playfield,0xf643,15,6,4,3
704,playfield,0x0000,0,0,0,0
